row_label_raw,row_label_full,col_0,Bản quyền VND,Phần mềm máy tính VND,TSCĐ vô hình khác VND,Tổng cộng VND,numeric__Bản quyền VND,numeric__Phần mềm máy tính VND,numeric__TSCĐ vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.661.339.000,18.797.197.282,170.000.000,21.628.536.282,2661339000.0,18797197282.0,170000000.0,21628536282.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,-,396.000.000,-,396.000.000,,396000000.0,,396000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.661.339.000,19.193.197.282,170.000.000,22.024.536.282,2661339000.0,19193197282.0,170000000.0,22024536282.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,2.661.339.000,15.808.141.184,170.000.000,18.639.480.184,2661339000.0,15808141184.0,170000000.0,18639480184.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,2.106.281.751,-,2.106.281.751,,2106281751.0,,2106281751.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.661.339.000,17.914.422.935,170.000.000,20.745.761.935,2661339000.0,17914422935.0,170000000.0,20745761935.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,2.989.056.098,-,2.989.056.098,,2989056098.0,,2989056098.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,1.278.774.347,-,1.278.774.347,,1278774347.0,,1278774347.0
