row_label_raw,row_label_full,col_0,Vốn cổ phầnVND,Thăng dưvốn cổ phầnVND,Cổ phiếu quỹVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thuếchưa phân phốiVND,Tổng côngVND,numeric__Vốn cổ phầnVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__Tổng côngVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số dư đầu năm,Số dư đầu năm,21.771.732.360.000,14.602.790.587,(2.285.950.000),6.034.593.641.645,8.276.898.530.062,36.095.541.372.294,21771732360000.0,14602790587.0,-2285950000.0,6034593641645.0,8276898530062.0,36095541372294.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.712.601.097.361,1.712.601.097.361,,,,,1712601097361.0,1712601097361.0
Mua lại cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(632.730.000),-,-,(632.730.000),,,-632730000.0,,,-632730000.0
"Trích quỹ khen thưởng,phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(822.339.000.000),(822.339.000.000),,,,,-822339000000.0,-822339000000.0
Trích quỹ thưởng bandiều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Trích quỹ thưởng bandiều hành,Trích quỹ thưởng bandiều hành,-,-,-,-,(2.721.600.000),(2.721.600.000),,,,,-2721600000.0,-2721600000.0
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số dư cuối năm,Số dư cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.164.439.027.423,36.982.449.139.655,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9164439027423.0,36982449139655.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số dư đầu năm,Số dư đầu năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.164.439.027.423,36.982.449.139.655,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9164439027423.0,36982449139655.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,924.464.433.120,924.464.433.120,,,,,924464433120.0,924464433120.0
Lợi nhuận từ việc khai tháctài sản KCHTHK phải nộpNhà nước,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận từ việc khai tháctài sản KCHTHK phải nộpNhà nước,Lợi nhuận từ việc khai tháctài sản KCHTHK phải nộpNhà nước,-,-,-,-,(309.997.033.307),(309.997.033.307),,,,,-309997033307.0,-309997033307.0
"Trích quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(390.360.000.000),(390.360.000.000),,,,,-390360000000.0,-390360000000.0
Trích quỹ thưởng bandiều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Trích quỹ thưởng bandiều hành,Trích quỹ thưởng bandiều hành,-,-,-,-,(1.769.040.000),(1.769.040.000),,,,,-1769040000.0,-1769040000.0
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số dư cuối năm,Số dư cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.386.777.387.236,37.204.787.499.468,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9386777387236.0,37204787499468.0
