row_label_raw,row_label_full,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Số cuối nămVND > 67.038.868.486,Số đầu nămVND > -,numeric__Số cuối nămVND > 67.038.868.486,numeric__Số đầu nămVND > -
Công ty Cổ phần Hệ thống Công nghệ ETC,Công ty Cổ phần Hệ thống Công nghệ ETC,Công ty Cổ phần Hệ thống Công nghệ ETC,37.316.724.000,-,37316724000.0,
Công ty Cổ phần Dịch Vụ và Kỹ Thuật,Công ty Cổ phần Dịch Vụ và Kỹ Thuật,Công ty Cổ phần Dịch Vụ và Kỹ Thuật,35.326.000.000,-,35326000000.0,
Cơ điện lạnh REE,Cơ điện lạnh REE,Cơ điện lạnh REE,,,,
Công ty TNHH MTV Thiết kế và Tư vấn,Cơ điện lạnh REE > Công ty TNHH MTV Thiết kế và Tư vấn,Công ty TNHH MTV Thiết kế và Tư vấn,25.148.509.999,7.731.953.560,25148509999.0,7731953560.0
Xây dựng Công trình Hàng không ADCC,Xây dựng Công trình Hàng không ADCC,Xây dựng Công trình Hàng không ADCC,,,,
"Heerim Architects & Planners Co., Ltd.","Xây dựng Công trình Hàng không ADCC > Heerim Architects & Planners Co., Ltd.","Heerim Architects & Planners Co., Ltd.",23.488.004.250,-,23488004250.0,
Công ty TNHH Thương mại Dịch vụ,Xây dựng Công trình Hàng không ADCC > Công ty TNHH Thương mại Dịch vụ,Công ty TNHH Thương mại Dịch vụ,18.671.262.400,19.667.932.900,18671262400.0,19667932900.0
Xuất nhập khẩu An Tâm,Xuất nhập khẩu An Tâm,Xuất nhập khẩu An Tâm,,,,
"Hội đồng bồi thường, hỗ trợ và tái định cư","Xuất nhập khẩu An Tâm > Hội đồng bồi thường, hỗ trợ và tái định cư","Hội đồng bồi thường, hỗ trợ và tái định cư",16.794.345.255,-,16794345255.0,
Dự án Mở rộng Cảng hàng không quốc tế,Dự án Mở rộng Cảng hàng không quốc tế,Dự án Mở rộng Cảng hàng không quốc tế,,,,
Phú Bài tại Thị xã Hương Thủy,Phú Bài tại Thị xã Hương Thủy,Phú Bài tại Thị xã Hương Thủy,,,,
Công ty TNHH Kỹ thuật Quản lý bay,Phú Bài tại Thị xã Hương Thủy > Công ty TNHH Kỹ thuật Quản lý bay,Công ty TNHH Kỹ thuật Quản lý bay,16.306.218.143,-,16306218143.0,
Công ty Cổ Phần Thiết Bj Mỹ Kim,Phú Bài tại Thị xã Hương Thủy > Công ty Cổ Phần Thiết Bj Mỹ Kim,Công ty Cổ Phần Thiết Bj Mỹ Kim,14.720.000.000,-,14720000000.0,
Công ty Cổ phần Công trình và Thương mại,Phú Bài tại Thị xã Hương Thủy > Công ty Cổ phần Công trình và Thương mại,Công ty Cổ phần Công trình và Thương mại,11.793.110.348,11.793.110.348,11793110348.0,11793110348.0
Giao thông Vận tải,Giao thông Vận tải,Giao thông Vận tải,,,,
Công ty TNHH Xây dựng Lưu Nguyễn,Giao thông Vận tải > Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,11.495.565.529,-,11495565529.0,
Tổng Công ty Tư vấn Thiết kế Giao thông,Giao thông Vận tải > Tổng Công ty Tư vấn Thiết kế Giao thông,Tổng Công ty Tư vấn Thiết kế Giao thông,9.492.911.204,141.000.000,9492911204.0,141000000.0
Vận tải (TEDI),Vận tải (TEDI),Vận tải (TEDI),,,,
Công ty Cổ phần Cầu 7 Thăng Long,Vận tải (TEDI) > Công ty Cổ phần Cầu 7 Thăng Long,Công ty Cổ phần Cầu 7 Thăng Long,9.304.000.000,-,9304000000.0,
Các nhà cung cấp khác,Vận tải (TEDI) > Các nhà cung cấp khác,Các nhà cung cấp khác,108.138.383.680,221.688.090.468,108138383680.0,221688090468.0
TỔNG CỘNG,Vận tải (TEDI) > TỔNG CỘNG,TỔNG CỘNG,405.033.903.294,261.022.087.276,405033903294.0,261022087276.0
