row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,26.172.734.232.005,13.790.728.713.141,2.709.372.208.428,117.078.922.811,42.789.914.076.385,26172734232005.0,13790728713141.0,2709372208428.0,117078922811.0,42789914076385.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,124.545.455,477.070.192.569,167.517.434.046,2.428.112.999,647.140.285.069,124545455.0,477070192569.0,167517434046.0,2428112999.0,647140285069.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,(92.336.313.297),147.907.707.193,-,,55.571.393.896,-92336313297.0,147907707193.0,,,55571393896.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(838.600.200),(43.322.541.688),(5.208.139.659),(7.182.786.178),(56.552.067.725),-838600200.0,-43322541688.0,-5208139659.0,-7182786178.0,-56552067725.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,26.079.683.863.963,14.372.384.071.215,2.871.681.502.815,112.324.249.632,43.436.073.687.625,26079683863963.0,14372384071215.0,2871681502815.0,112324249632.0,43436073687625.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,14.710.150.766.182,11.805.938.554.522,1.894.489.850.563,95.180.854.024,28.505.760.025.291,14710150766182.0,11805938554522.0,1894489850563.0,95180854024.0,28505760025291.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.546.515.460.807,726.100.537.520,240.095.669.441,5.771.704.930,2.518.483.372.698,1546515460807.0,726100537520.0,240095669441.0,5771704930.0,2518483372698.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(85.420.342.890),85.420.342.890,-,-,-,-85420342890.0,85420342890.0,,,
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(838.600.200),(43.322.541.688),(5.208.139.659),(7.182.786.178),(56.552.067.725),-838600200.0,-43322541688.0,-5208139659.0,-7182786178.0,-56552067725.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,16.170.407.283.899,12.574.136.893.244,2.129.377.380.345,93.769.772.776,30.967.691.330.264,16170407283899.0,12574136893244.0,2129377380345.0,93769772776.0,30967691330264.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,11.462.583.465.823,1.984.790.158.619,814.882.357.865,21.898.068.787,14.284.154.051.094,11462583465823.0,1984790158619.0,814882357865.0,21898068787.0,14284154051094.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,9.909.276.580.064,1.798.247.177.971,742.304.122.470,18.554.476.856,12.468.382.357.361,9909276580064.0,1798247177971.0,742304122470.0,18554476856.0,12468382357361.0
