row_label_raw,row_label_full,STT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
36,36,36,Công ty Cổ phần Vinpearl Quy Nhơn,Công ty Vinpearl Quy Nhơn,"98,00%","86,54%","Khu Du lịch Vinpearl Quy Nhơn, Khu Kinh tế Nhơn Hội, thôn Hải Giang, Xã Nhơn Hải, Quy Nhơn, Bình Định",Cung cấp dịch vụ du lịch sinh thái và các loại hình du lịch khác,,,0.98,0.8654000000000001,,
37,37,37,Công ty TNHH Future Property Investment,Công ty FPI,"100,00%","88,30%","Đường Trường Sa, Phường Hòa Hải, quận Ngũ Hành Sơn, TP. Đà Nẵng","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,1.0,0.883,,
38,38,38,Công ty TNHH Bất động sản Tây Tăng Long,Công ty Tây Tăng Long,"59,00%","53,27%","Số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP.HCM","Đầu tư, xây dựng và kinh doanh bất động sản",,,0.59,0.5327000000000001,,
39,39,39,Công ty TNHH Khách sạn và Du lịch Tây Hồ View,Công ty Tây Hồ View,"70,00%","61,81%","58 đường Tây Hồ, phường Quảng An, quận Tây Hồ, Tp. Hà Nội","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,0.7,0.6181,,
40,40,40,Công ty TNHH Vinpearl Bãi Dải,Công ty Vinpearl Bãi Dải,"90,00%","79,47%","17A Bạch Đằng, Phường Phước Tiến, Nha Trang, Khánh Hòa","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,0.9,0.7947,,
41,41,41,Công ty TNHH Đầu tư Cam Ranh,Công ty Cam Ranh,"90,00%","79,47%","16 Mạc Đĩnh Chi, Phường Phước Tiến, Nha Trang, Khánh Hòa","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,0.9,0.7947,,
42,42,42,Công ty Cổ phần Du lịch Hòn Một,Công ty Hòn Một,"83,63%","73,85%","Đảo Hòn Tre, phường Vĩnh Nguyên, TP Nha Trang, tỉnh Khánh Hòa","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,0.8362999999999999,0.7384999999999999,,
43,43,43,Công ty TNHH Đầu tư và Phát triển Hòn Tre,Công ty Hòn Tre,"90,00%","79,47%","Số 42/2 Đồng Nai, Phường Phước Hải, Thành phố Nha Trang, Khánh Hòa","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,0.9,0.7947,,
44,44,44,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,"55,00%","48,57%","Khu Bãi Dải, Xã Gành Dầu, Huyện Phú Quốc, Tĩnh Kiên Giang",Cung cấp dịch vụ lưu trú ngắn ngày,,,0.55,0.4857,,
45,45,45,Công ty TNHH MTV Vinpearl Phú Quốc,Công ty Vinpearl Phú Quốc,"100,00%","48,57%","Khu Bãi Dải, Xã Gành Dầu, Huyện Phú Quốc, Tĩnh Kiên Giang, Việt Nam","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,1.0,0.4857,,
46,46,46,Công ty TNHH Vinpearl Hạ Long,Công ty Vinpearl Hạ Long,"100,00%","88,30%","Đảo Rầu, Phường Bãi Cháy, Thành phố Hạ Long, Tĩnh Quảng Ninh, Việt Nam","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,1.0,0.883,,
47,47,47,Công ty TNHH Quản lý sân Golf Vinpearl,Công ty Quản lý sân Golf Vinpearl,"100,00%","88,30%","Số 7 Đường Bằng Lăng 1, Khu Đô thị Sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội",Cung cấp dịch vụ tư vấn quản lý,,,1.0,0.883,,
