row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:Các khoản cho vay các đối tác doanh nghiệp (i),Ngắn hạn:Các khoản cho vay các đối tác doanh nghiệp (i),Ngắn hạn:Các khoản cho vay các đối tác doanh nghiệp (i),698.668.376.862,2.026.383.376.328,698668376862.0,2026383376328.0
Các khoản cho vay khách hàng và các cá nhân dài hạn đến hạn thu hồi (ii),Các khoản cho vay khách hàng và các cá nhân dài hạn đến hạn thu hồi (ii),Các khoản cho vay khách hàng và các cá nhân dài hạn đến hạn thu hồi (ii),1.009.251.354.122,82.578.564.022,1009251354122.0,82578564022.0
Phải thu từ cho vay các bên liên quan (Thuyết minh số 37),Phải thu từ cho vay các bên liên quan (Thuyết minh số 37),Phải thu từ cho vay các bên liên quan (Thuyết minh số 37),55.204.181.818,16.204.181.818,55204181818.0,16204181818.0
,,,1.763.123.912.802,2.125.166.122.168,1763123912802.0,2125166122168.0
Dài hạn:Các khoản cho vay các cá nhân (ii),Dài hạn:Các khoản cho vay các cá nhân (ii),Dài hạn:Các khoản cho vay các cá nhân (ii),904.533.000.000,904.533.000.000,904533000000.0,904533000000.0
Các khoản cho khách hàng vay (ii),Các khoản cho khách hàng vay (ii),Các khoản cho khách hàng vay (ii),112.278.193.287,117.578.059.260,112278193287.0,117578059260.0
Khoản cho vay một đối tác doanh nghiệp,Khoản cho vay một đối tác doanh nghiệp,Khoản cho vay một đối tác doanh nghiệp,55.000.000.000,-,55000000000.0,
Trong đó: các khoản cho khách hàng và cá nhân vay đến hạn thu hồi,Trong đó: các khoản cho khách hàng và cá nhân vay đến hạn thu hồi,Trong đó: các khoản cho khách hàng và cá nhân vay đến hạn thu hồi,(1.009.251.354.122),(82.578.564.022),-1009251354122.0,-82578564022.0
,,,62.559.839.165,939.532.495.238,62559839165.0,939532495238.0
Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(67.064.381.376),(45.908.601.100),-67064381376.0,-45908601100.0
