row_label_raw,row_label_full,Bất động sản đầu tư,Tỷ VND,numeric__Tỷ VND
Tòa nhà Vincom Đồng Khởi (khu văn phòng),Tòa nhà Vincom Đồng Khởi (khu văn phòng),Tòa nhà Vincom Đồng Khởi (khu văn phòng),4.971,4971.0
Tòa nhà Vincom Đồng Khởi (khu TTTM),Tòa nhà Vincom Đồng Khởi (khu TTTM),Tòa nhà Vincom Đồng Khởi (khu TTTM),4.839,4839.0
Khu TTTM Vincom Mega Mall Royal City,Khu TTTM Vincom Mega Mall Royal City,Khu TTTM Vincom Mega Mall Royal City,4.754,4754.0
Khu TTTM Vincom Mega Mall Times City,Khu TTTM Vincom Mega Mall Times City,Khu TTTM Vincom Mega Mall Times City,2.612,2612.0
Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp A & B (khu TTTM),2.172,2172.0
Tòa nhà Vinhomes Nguyễn Chí Thanh (khu TTTM),Tòa nhà Vinhomes Nguyễn Chí Thanh (khu TTTM),Tòa nhà Vinhomes Nguyễn Chí Thanh (khu TTTM),1.711,1711.0
Khu TTTM Vincom Mega Mall Thảo Điền,Khu TTTM Vincom Mega Mall Thảo Điền,Khu TTTM Vincom Mega Mall Thảo Điền,1.341,1341.0
Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),Tòa nhà Vincom Bà Triệu – Tòa tháp C (khu TTTM),1.204,1204.0
Tòa nhà Vincom Thủ Đức,Tòa nhà Vincom Thủ Đức,Tòa nhà Vincom Thủ Đức,495,495.0
"Tòa nhà Vincom Ngô Quyền, Đà Nẵng","Tòa nhà Vincom Ngô Quyền, Đà Nẵng","Tòa nhà Vincom Ngô Quyền, Đà Nẵng",365,365.0
Tòa nhà Maximark Cộng Hòa,Tòa nhà Maximark Cộng Hòa,Tòa nhà Maximark Cộng Hòa,318,318.0
Tòa nhà Vincom Hạ Long,Tòa nhà Vincom Hạ Long,Tòa nhà Vincom Hạ Long,311,311.0
Tòa nhà Vincom Long Biên,Tòa nhà Vincom Long Biên,Tòa nhà Vincom Long Biên,293,293.0
"Tòa nhà Vincom Lê Thánh Tông, Hải Phòng (khu TTTM)","Tòa nhà Vincom Lê Thánh Tông, Hải Phòng (khu TTTM)","Tòa nhà Vincom Lê Thánh Tông, Hải Phòng (khu TTTM)",259,259.0
Khu trường học thuộc dự án Vinhomes Riverside,Khu trường học thuộc dự án Vinhomes Riverside,Khu trường học thuộc dự án Vinhomes Riverside,251,251.0
Tòa nhà Vincom Plaza Việt Trì,Tòa nhà Vincom Plaza Việt Trì,Tòa nhà Vincom Plaza Việt Trì,209,209.0
"Khu TTTM Vincom Plaza Long Xuyên, An Giang","Khu TTTM Vincom Plaza Long Xuyên, An Giang","Khu TTTM Vincom Plaza Long Xuyên, An Giang",194,194.0
"Khu TTTM Vincom Center Hùng Vương, Cần Thơ","Khu TTTM Vincom Center Hùng Vương, Cần Thơ","Khu TTTM Vincom Center Hùng Vương, Cần Thơ",173,173.0
Tòa nhà 307-309 Võ Văn Ngần,Tòa nhà 307-309 Võ Văn Ngần,Tòa nhà 307-309 Võ Văn Ngần,140,140.0
Khu trường học thuộc Dự án Vinhomes Royal City,Khu trường học thuộc Dự án Vinhomes Royal City,Khu trường học thuộc Dự án Vinhomes Royal City,140,140.0
Tòa nhà Bệnh viện Hoàn Mỹ,Tòa nhà Bệnh viện Hoàn Mỹ,Tòa nhà Bệnh viện Hoàn Mỹ,136,136.0
Tòa nhà Maximark 3 tháng 2,Tòa nhà Maximark 3 tháng 2,Tòa nhà Maximark 3 tháng 2,128,128.0
Tòa nhà Maximark Nha Trang,Tòa nhà Maximark Nha Trang,Tòa nhà Maximark Nha Trang,110,110.0
"Tòa nhà Vinpearl Shopping Mall tại đảo Hòn Tre, Vĩnh Nguyên, Khánh Hòa","Tòa nhà Vinpearl Shopping Mall tại đảo Hòn Tre, Vĩnh Nguyên, Khánh Hòa","Tòa nhà Vinpearl Shopping Mall tại đảo Hòn Tre, Vĩnh Nguyên, Khánh Hòa",84,84.0
Tòa nhà Maximark Phan Rang,Tòa nhà Maximark Phan Rang,Tòa nhà Maximark Phan Rang,41,41.0
Tòa nhà Maximark Cam Ranh,Tòa nhà Maximark Cam Ranh,Tòa nhà Maximark Cam Ranh,24,24.0
