row_label_raw,row_label_full,Lợi thế thương mại phát sinh từ việc mua các công ty con > Công ty Nam Hà Nội,Nguyễn giả > Số dư đầu năm (Trình bày lại) > 2.246.022.053.760,Nguyễn giả > Tăng trong năm > -,Nguyễn giả > Giảm trong năm > -,Nguyễn giả > Số dư cuối năm > 2.246.022.053.760,Phân bố lũy kế > Số dư đầu năm (Trình bày lại) > 677.817.874.772,Phân bố lũy kế > Phân bố trong năm > 224.602.205.376,Phân bố lũy kế > Giảm trong năm > -,Phân bố lũy kế > Số dư cuối năm > 902.420.080.148,Đơn vị tính: VNDGiá trị còn lại > Số dư đầu năm (Trình bày lại) > 1.568.204.178.988,Đơn vị tính: VNDGiá trị còn lại > Số dư cuối năm > 1.343.601.973.612,numeric__Nguyễn giả > Số dư đầu năm (Trình bày lại) > 2.246.022.053.760,numeric__Nguyễn giả > Tăng trong năm > -,numeric__Nguyễn giả > Giảm trong năm > -,numeric__Nguyễn giả > Số dư cuối năm > 2.246.022.053.760,numeric__Phân bố lũy kế > Số dư đầu năm (Trình bày lại) > 677.817.874.772,numeric__Phân bố lũy kế > Phân bố trong năm > 224.602.205.376,numeric__Phân bố lũy kế > Giảm trong năm > -,numeric__Phân bố lũy kế > Số dư cuối năm > 902.420.080.148,numeric__Đơn vị tính: VNDGiá trị còn lại > Số dư đầu năm (Trình bày lại) > 1.568.204.178.988,numeric__Đơn vị tính: VNDGiá trị còn lại > Số dư cuối năm > 1.343.601.973.612
Công ty PFV (1),Công ty PFV (1),Công ty PFV (1),567.441.137.177,-,-,567.441.137.177,183.201.261.541,56.744.113.718,-,239.945.375.259,384.239.875.636,327.495.761.918,567441137177.0,,,567441137177.0,183201261541.0,56744113718.0,,239945375259.0,384239875636.0,327495761918.0
Công ty Sài Đông,Công ty Sài Đông,Công ty Sài Đông,2.251.823.291.311,-,-,2.251.823.291.311,357.403.239.420,225.182.329.131,-,582.585.568.551,1.894.420.051.891,1.669.237.722.760,2251823291311.0,,,2251823291311.0,357403239420.0,225182329131.0,,582585568551.0,1894420051891.0,1669237722760.0
Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty Hoàng Gia,1.262.707.762.179,-,-,1.262.707.762.179,412.288.964.308,126.270.776.218,-,538.559.740.526,850.418.797.871,724.148.021.653,1262707762179.0,,,1262707762179.0,412288964308.0,126270776218.0,,538559740526.0,850418797871.0,724148021653.0
Công ty Vinpearl Đà Nẵng (2),Công ty Vinpearl Đà Nẵng (2),Công ty Vinpearl Đà Nẵng (2),221.392.584.812,-,(12.001.862.555),209.390.722.257,88.491.186.148,21.356.960.498,(5.208.189.785),104.639.956.861,132.901.398.664,104.750.765.396,221392584812.0,,-12001862555.0,209390722257.0,88491186148.0,21356960498.0,-5208189785.0,104639956861.0,132901398664.0,104750765396.0
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,498.584.453.672,-,-,498.584.453.672,4.154.870.447,49.858.445.367,-,54.013.315.814,494.429.583.225,444.571.137.858,498584453672.0,,,498584453672.0,4154870447.0,49858445367.0,,54013315814.0,494429583225.0,444571137858.0
Công ty Vincommerce (2),Công ty Vincommerce (2),Công ty Vincommerce (2),553.898.715.800,-,(132.190.896.880),421.707.818.920,13.050.764.263,54.440.694.748,(6.454.590.537),61.036.868.474,540.847.951.537,360.670.950.446,553898715800.0,,-132190896880.0,421707818920.0,13050764263.0,54440694748.0,-6454590537.0,61036868474.0,540847951537.0,360670950446.0
Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (3),Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (3),Công ty TNHH Đầu tư Thương mại Dịch vụ Khánh Gia (3),219.657.806.517,82.216.262.278,(83.392.604.500),218.481.464.295,1.143.424.198,21.764.408.313,(230.036.330),22.677.796.181,218.514.382.319,195.803.668.114,219657806517.0,82216262278.0,-83392604500.0,218481464295.0,1143424198.0,21764408313.0,-230036330.0,22677796181.0,218514382319.0,195803668114.0
Công ty Vinlinks (4),Công ty Vinlinks (4),Công ty Vinlinks (4),-,212.916.929.493,-,212.916.929.493,-,14.676.805.602,-,14.676.805.602,-,198.240.123.891,,212916929493.0,,212916929493.0,,14676805602.0,,14676805602.0,,198240123891.0
Công ty An Phong (4),Công ty An Phong (4),Công ty An Phong (4),-,437.342.855.521,-,437.342.855.521,-,5.783.311.684,-,5.783.311.684,-,431.559.543.837,,437342855521.0,,437342855521.0,,5783311684.0,,5783311684.0,,431559543837.0
Công ty Vinaconex – Vietiel (4),Công ty Vinaconex – Vietiel (4),Công ty Vinaconex – Vietiel (4),-,2.220.737.168.894,-,2.220.737.168.894,-,555.184.292,-,555.184.292,-,2.220.181.984.602,,2220737168894.0,,2220737168894.0,,555184292.0,,555184292.0,,2220181984602.0
