row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tại ngày mua
Tài sản,Tài sản,Tài sản,,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,5.996.912.781,5996912781.0
Chi phí xây dựng cơ bản dở dang (i),Tài sản > Chi phí xây dựng cơ bản dở dang (i),Chi phí xây dựng cơ bản dở dang (i),539.139.148.909,539139148909.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,18.758.330.018,18758330018.0
,,,563.894.391.708,563894391708.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Thuế TNDN hoãn lại phải trả (ii) (Thuyết minh số 36.3),Nợ phải trả > Thuế TNDN hoãn lại phải trả (ii) (Thuyết minh số 36.3),Thuế TNDN hoãn lại phải trả (ii) (Thuyết minh số 36.3),106.823.200.000,106823200000.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,728.818.991,728818991.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,456.342.372.717,456342372717.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(2.392.988.461),-2392988461.0
Lãi từ giao dịch mua rè (Thuyết minh số 34),Nợ phải trả > Lãi từ giao dịch mua rè (Thuyết minh số 34),Lãi từ giao dịch mua rè (Thuyết minh số 34),(123.824.134.645),-123824134645.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,330.125.249.611,330125249611.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,5.935.563.734,5935563734.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(330.125.249.611),-330125249611.0
Lưu chuyển tiền thuần từ nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua,Lưu chuyển tiền thuần từ nghiệp vụ mua,(324.189.685.877),-324189685877.0
