row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay (Thuyết minh số 8) > Công ty BĐS Thăng Long,Mối quan hệ > Phải thu về cho vay (Thuyết minh số 8) > Công ty liên kết,Lãi suất > Phải thu về cho vay (Thuyết minh số 8) > 7%/năm,Ngày đáo hạn > Phải thu về cho vay (Thuyết minh số 8) > Ngày 2 tháng 12 năm 2016,Tài sản đảm bảo > Phải thu về cho vay (Thuyết minh số 8) > Không,Số dư cho vay VND > Phải thu về cho vay (Thuyết minh số 8) > 55.204.181.818,numeric__Mối quan hệ > Phải thu về cho vay (Thuyết minh số 8) > Công ty liên kết,numeric__Lãi suất > Phải thu về cho vay (Thuyết minh số 8) > 7%/năm,numeric__Ngày đáo hạn > Phải thu về cho vay (Thuyết minh số 8) > Ngày 2 tháng 12 năm 2016,numeric__Tài sản đảm bảo > Phải thu về cho vay (Thuyết minh số 8) > Không,numeric__Số dư cho vay VND > Phải thu về cho vay (Thuyết minh số 8) > 55.204.181.818
,,,,,,,55.204.181.818,,,,,55204181818.0
Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,Chỉ tiết các khoản đi vay và lãi suất với các bên liên quan như sau:,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi suất,Ngày đáo hạn,Tài sản đảm bảo,Số dư cho vay VND,,,,,
Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),Vay và nợ ngắn hạn (Thuyết minh số 26),,,,,
Công ty Ngọc Viễn Đông,Vay và nợ ngắn hạn (Thuyết minh số 26) > Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty liên kết,7%/năm,Ngày 5 tháng 5 năm 2016,Không,424.700.000.000,,,,,424700000000.0
,,,,,,,424.700.000.000,,,,,424700000000.0
