row_label_raw,row_label_full,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_1,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_2,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_3,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_4,BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_5,numeric__BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_1,numeric__BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_2,numeric__BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_3,numeric__BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_4,numeric__BẢNG CẦN ĐỒI KẾ TOÁNHỢP NHẤT_5
Mã số,Mã số,Mã số,Khoản mục,,Số đầu năm(Đã được trình bày trước đây),Trình bày lại,Số đầu năm(Được trình bày lại),,,,,
121,Mã số > 121,121,Đầu tư tài chính ngắn hạn,(1),6.245.416.256.669(*),(6.245.416.256.669),(**),,-1.0,,-6245416256669.0,
121,Mã số > 121,121,Chứng khoán kinh doanh,(1),6.245.416.256.669(*),105.781.413.500,105.781.413.500,,-1.0,,105781413500.0,105781413500.0
121,Mã số > 121,121,Dự phòng giảm giả đầu tư ngắn hạn,(2),(77.245.017.700),77.245.017.700,(**),,-2.0,-77245017700.0,77245017700.0,
122,Mã số > 122,122,Dự phòng giảm giá chứng khoán kinh doanh,(2),(*),(31.336.416.600),(31.336.416.600),,-2.0,,-31336416600.0,-31336416600.0
123,Mã số > 123,123,Đầu tư nắm giữ đến ngày đáo hạn,(1),(*),4.014.468.721.001,4.014.468.721.001,,-1.0,,4014468721001.0,4014468721001.0
135,Mã số > 135,135,Phải thu về cho vay ngắn hạn,(1),(*),2.125.166.122.168,2.125.166.122.168,,-1.0,,2125166122168.0,2125166122168.0
136,Mã số > 136,136,Phải thu ngắn hạn khác,(4),626.203.073.987,85.946.950.764,712.150.024.751,,-4.0,626203073987.0,85946950764.0,712150024751.0
137,Mã số > 137,137,Dự phòng phải thu ngắn hạn khó đòi,(2),(54.815.552.602),(45.908.601.100),(100.724.153.702),,-2.0,-54815552602.0,-45908601100.0,-100724153702.0
141,Mã số > 141,141,Hàng tồn kho,(3),16.653.246.649.293,(331.307.723.610),16.321.938.925.683,,-3.0,16653246649293.0,-331307723610.0,16321938925683.0
149,Mã số > 149,149,Dự phòng giảm giá hàng tồn kho,(3),(54.895.665.767),47.840.495.143,(7.055.170.624),,-3.0,-54895665767.0,47840495143.0,-7055170624.0
151,Mã số > 151,151,Chi phí trả trước ngắn hạn,(5),175.767.407.122,157.539.742.904,333.307.150.026,,-5.0,175767407122.0,157539742904.0,333307150026.0
153,Mã số > 153,153,Thuế và các khoản khác phải thu Nhà nước,(4),29.443.682.396,13.705.263.157,43.148.945.553,,-4.0,29443682396.0,13705263157.0,43148945553.0
158,Mã số > 158,158,Tài sản ngắn hạn khác,"(3),(4)",882.818.880.591,361.870.431.283,1.244.689.311.874,,,882818880591.0,361870431283.0,1244689311874.0
215,Mã số > 215,215,Phải thu về cho vay dài hạn,(6),(*),939.532.495.238,939.532.495.238,,-6.0,,939532495238.0,939532495238.0
216,Mã số > 216,216,Phải thu dài hạn khác,(7),-,100.602.091.252,100.602.091.252,,-7.0,,100602091252.0,100602091252.0
228,Mã số > 228,228,Nguyễn giá,(8),707.140.927.890,(136.500.000.000),570.640.927.890,,-8.0,707140927890.0,-136500000000.0,570640927890.0
242,Mã số > 242,242,Chi phí xây dựng cơ bản dở dang,(8),11.272.988.269.731,136.500.000.000,11.409.488.269.731,,-8.0,11272988269731.0,136500000000.0,11409488269731.0
