row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
"Tiền ứng vốn từ khách hàng theo các hợp đồng đặt cọc, vay vốn và hợp đồng khác (i)","Tiền ứng vốn từ khách hàng theo các hợp đồng đặt cọc, vay vốn và hợp đồng khác (i)","Tiền ứng vốn từ khách hàng theo các hợp đồng đặt cọc, vay vốn và hợp đồng khác (i)",24.902.889.733.089,7.847.174.664.786,24902889733089.0,7847174664786.0
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,3.651.256.298.590,1.984.454.635.106,3651256298590.0,1984454635106.0
Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),Đặt cọc từ khách hàng thuê phải trả trong vòng 12 tháng tới (Thuyết minh số 25.2),198.735.029.285,126.677.298.798,198735029285.0,126677298798.0
Đặt cọc từ đối tác để mua lại các khoản đầu tư của Tập đoàn,Đặt cọc từ đối tác để mua lại các khoản đầu tư của Tập đoàn,Đặt cọc từ đối tác để mua lại các khoản đầu tư của Tập đoàn,1.142.312.091.675,494.312.091.675,1142312091675.0,494312091675.0
Phải trả mua cổ phần (ii),Phải trả mua cổ phần (ii),Phải trả mua cổ phần (ii),1.082.421.151.363,-,1082421151363.0,
Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,Các khoản thu hộ phải trả,226.536.581.710,150.466.699.390,226536581710.0,150466699390.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,66.146.583.977,38.062.015.345,66146583977.0,38062015345.0
Bảo hiểm xã hội phải nộp,Bảo hiểm xã hội phải nộp,Bảo hiểm xã hội phải nộp,12.765.259.655,6.572.609.862,12765259655.0,6572609862.0
Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,Phải trả khách hàng do hủy hợp đồng,189.536.276.226,104.206.086.965,189536276226.0,104206086965.0
Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,Quỹ bảo trì căn hộ giữ hộ khách hàng,460.188.180.130,604.895.150.936,460188180130.0,604895150936.0
Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,Phải trả khách hàng do chấm dứt việc cho thuê trước hạn,23.010.241.318,271.317.937.777,23010241318.0,271317937777.0
Phải trả khác,Phải trả khác,Phải trả khác,249.604.903.251,187.944.744.358,249604903251.0,187944744358.0
,,,28.554.146.031.679,9.831.629.299.892,28554146031679.0,9831629299892.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,28.517.060.118.470,9.830.007.590.431,28517060118470.0,9830007590431.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 37),37.085.913.209,1.621.709.461,37085913209.0,1621709461.0
