row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,34.054.968.884.836,27.726.701.600.235,34054968884836.0,27726701600235.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,21.179.148.427.947,21.771.825.649.847,21179148427947.0,21771825649847.0
"Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Trong đó: > Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Doanh thu bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác",4.312.995.120.187,422.544.558.414,4312995120187.0,422544558414.0
"Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Trong đó: > Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Doanh thu cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",2.847.874.120.764,2.115.560.587.606,2847874120764.0,2115560587606.0
Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,2.655.125.765.258,2.193.750.851.580,2655125765258.0,2193750851580.0
Doanh thu cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ xây dựng và các dịch vụ liên quan,1.028.312.653.853,17.788.745.325,1028312653853.0,17788745325.0
Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,770.606.961.951,656.565.516.769,770606961951.0,656565516769.0
Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Trong đó: > Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Doanh thu cung cấp dịch vụ giáo dục và các dịch vụ liên quan,514.231.160.146,229.548.890.248,514231160146.0,229548890248.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,746.674.674.730,319.116.800.446,746674674730.0,319116800446.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(7.002.571.734),(3.068.229.199),-7002571734.0,-3068229199.0
