row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,,
- Đô la Mỹ,Ngoại tệ các loại: > - Đô la Mỹ,- Đô la Mỹ,3.038.673,1.322.830,3038673.0,1322830.0
- Euro,Ngoại tệ các loại: > - Euro,- Euro,8.567,300,8567.0,300.0
- Đô la Singapore,Ngoại tệ các loại: > - Đô la Singapore,- Đô la Singapore,-,20,,20.0
- Yên Nhật,Ngoại tệ các loại: > - Yên Nhật,- Yên Nhật,75.000,70.000,75000.0,70000.0
- Bằng Anh,Ngoại tệ các loại: > - Bằng Anh,- Bằng Anh,20,150,20.0,150.0
- Đô la Canada,Ngoại tệ các loại: > - Đô la Canada,- Đô la Canada,-,15,,15.0
- Đô la Hồng Kông,Ngoại tệ các loại: > - Đô la Hồng Kông,- Đô la Hồng Kông,1.000,300,1000.0,300.0
- Đô la Australia,Ngoại tệ các loại: > - Đô la Australia,- Đô la Australia,200,-,200.0,
