row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,19.1,6.715.538.162.046,1.030.494.731.370,191.0,6715538162046.0,1030494731370.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,19.2,2.882.019.433.681,1.815.581.443.945,192.0,2882019433681.0,1815581443945.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,-,(3.000.000.000),,,-3000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,9.597.557.595.727,2.843.076.175.315,,9597557595727.0,2843076175315.0
