row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,1.220.757.401.526,454.341.472.019,1220757401526.0,454341472019.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,256.588.553.650,222.348.822.022,256588553650.0,222348822022.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",91.852.450.219,46.193.370.495,91852450219.0,46193370495.0
Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ bệnh viện và các dịch vụ liên quan,42.697.629.658,24.415.240.296,42697629658.0,24415240296.0
"Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác","Phải thu từ bán hàng tại siêu thị, cửa hàng tiện ích và các cửa hàng bán lẻ khác",100.442.622.389,2.824.255.316,100442622389.0,2824255316.0
Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ giáo dục và các dịch vụ liên quan,703.673.277,2.969.286.736,703673277.0,2969286736.0
Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,601.465.507.260,23.039.563.914,601465507260.0,23039563914.0
Phải thu khác,Phải thu khác,Phải thu khác,124.292.534.915,56.869.455.549,124292534915.0,56869455549.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.438.800.372.894,833.001.466.347,2438800372894.0,833001466347.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,2.362.083.197.049,640.279.529.209,2362083197049.0,640279529209.0
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),76.717.175.845,192.721.937.138,76717175845.0,192721937138.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(111.652.055.514),(36.049.751.247),-111652055514.0,-36049751247.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,,
Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,628.772.614.597,-,628772614597.0,
Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,Phải thu từ cung cấp dịch vụ xây dựng từ một đối tác doanh nghiệp,344.852.318.673,-,344852318673.0,
Phải thu từ chuyển nhượng bất động sản và dịch vụ quản lý từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng bất động sản và dịch vụ quản lý từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng bất động sản và dịch vụ quản lý từ một đối tác doanh nghiệp,-,185.928.942.639,,185928942639.0
Phải thu từ chuyển nhượng tài sản từ một bên liên quan (Thuyết minh số 37),Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng tài sản từ một bên liên quan (Thuyết minh số 37),Phải thu từ chuyển nhượng tài sản từ một bên liên quan (Thuyết minh số 37),-,163.028.002.628,,163028002628.0
