row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn, với chơi giải trí và các dịch vụ cô liên quan",Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,Kinh doanh dịch vụ giáo dục và dịch vụ liên quan,Kinh doanh bán lẻ,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn, với chơi giải trí và các dịch vụ cô liên quan",numeric__Kinh doanh dịch vụ bệnh viện và các dịch vụ liên quan,numeric__Kinh doanh dịch vụ giáo dục và dịch vụ liên quan,numeric__Kinh doanh bán lẻ,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,21.771.825.649.847,2.193.750.851.580,2.113.985.422.722,656.565.516.769,229.548.890.248,421.051.494.099,336.905.545.771,-,27.723.633.371.036,21771825649847.0,2193750851580.0,2113985422722.0,656565516769.0,229548890248.0,421051494099.0,336905545771.0,,27723633371036.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),-,778.696.934.946,140.427.399.342,13.829.514.224,1.012.350.000,33.237.828.095,2.720.931.430.969,(3.688.135.457.576),-,,778696934946.0,140427399342.0,13829514224.0,1012350000.0,33237828095.0,2720931430969.0,-3688135457576.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,21.771.825.649.847,2.972.447.786.526,2.254.412.822.064,670.395.030.993,230.561.240.248,454.289.322.194,3.057.836.976.740,(3.688.135.457.576),27.723.633.371.036,21771825649847.0,2972447786526.0,2254412822064.0,670395030993.0,230561240248.0,454289322194.0,3057836976740.0,-3688135457576.0,27723633371036.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao và hao mòn,Kết quả hoạt động kinh doanh > Khẩu hao và hao mòn,Khẩu hao và hao mòn,33.861.787.629,499.559.630.229,250.609.520.696,127.129.037.014,465.525.772,15.027.677.554,7.261.606.505,-,933.914.785.399,33861787629.0,499559630229.0,250609520696.0,127129037014.0,465525772.0,15027677554.0,7261606505.0,,933914785399.0
Phần được chia tử lãi(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phần được chia tử lãi(lỗ) của công ty liên kết,Phần được chia tử lãi(lỗ) của công ty liên kết,28.151.206.086,-,-,-,-,(36.911.617.847),(10.247.493),-,(8.770.659.254),28151206086.0,,,,,-36911617847.0,-10247493.0,,-8770659254.0
Thu nhập(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập(lỗ) trước thuế theo bộ phận (2),Thu nhập(lỗ) trước thuế theo bộ phận (2),6.236.265.479.301,1.523.684.933.913,535.185.661.521,125.117.740.541,8.205.864.579,(279.389.952.870),(109.352.830.764),(2.630.036.257.723),5.409.680.638.498,6236265479301.0,1523684933913.0,535185661521.0,125117740541.0,8205864579.0,-279389952870.0,-109352830764.0,-2630036257723.0,5409680638498.0
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Đầu tư vào công ty liên kết,Tài sản > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,969.790.690.811,-,-,-,-,-,60.704.040.559,-,1.030.494.731.370,969790690811.0,,,,,,60704040559.0,,1030494731370.0
Chi phí vốn tăng trong năm,Tài sản > Chi phí vốn tăng trong năm,Chi phí vốn tăng trong năm,5.357.291.594.402,8.134.749.001.327,3.427.470.280.653,133.060.636.629,2.104.188.059,74.290.974.225,311.634.614.363,-,17.440.601.289.658,5357291594402.0,8134749001327.0,3427470280653.0,133060636629.0,2104188059.0,74290974225.0,311634614363.0,,17440601289658.0
Tổng tài sản (3),Tài sản > Tổng tài sản (3),Tổng tài sản (3),34.565.832.609.609,19.649.428.305.920,9.553.884.758.603,1.806.462.302.241,511.016.126.089,1.752.055.835.750,3.682.215.749.910,18.548.870.817.341,90.069.766.505.463,34565832609609.0,19649428305920.0,9553884758603.0,1806462302241.0,511016126089.0,1752055835750.0,3682215749910.0,18548870817341.0,90069766505463.0
Tổng nợ phải trả (4),Tài sản > Tổng nợ phải trả (4),Tổng nợ phải trả (4),10.854.098.980.391,12.158.692.320.971,1.847.769.303.370,96.884.073.978,628.706.951.062,323.223.295.392,1.337.482.396.566,35.360.220.507.948,62.607.077.829.686,10854098980391.0,12158692320971.0,1847769303370.0,96884073978.0,628706951062.0,323223295392.0,1337482396566.0,35360220507948.0,62607077829686.0
