row_label_raw,row_label_full,Mã số,Khoản mục,Số đầu năm(Đã được trình bày trước đáy),Số đầu năm(Đã được trình bày trước đáy)_1,Trình bày lại,Số đầu năm(Được trình bày lại),numeric__Khoản mục,numeric__Số đầu năm(Đã được trình bày trước đáy),numeric__Số đầu năm(Đã được trình bày trước đáy)_1,numeric__Trình bày lại,numeric__Số đầu năm(Được trình bày lại)
,,,Đầu tư dài hạn khác,(6),3.921.649.610.843,(3.921.649.610.843),(**),,-6.0,3921649610843.0,-3921649610843.0,
253,253,253,Đầu tư góp vốn vào đơn vị khác,(6),(*),1.815.581.443.945,1.815.581.443.945,,-6.0,,1815581443945.0,1815581443945.0
255,255,255,Đầu tư nằm giữ đến ngày đáo hạn,(6),(*),1.166.535.671.660,1.166.535.671.660,,-6.0,,1166535671660.0,1166535671660.0
261,261,261,Chỉ phí trả trước dài hạn,(9),1.770.073.401.504,(751.135.854.036),1.018.937.547.468,,-9.0,1770073401504.0,-751135854036.0,1018937547468.0
268,268,268,Tài sản dài hạn khác,(7),4.900.602.091.252,(100.602.091.252),4.800.000.000.000,,-7.0,4900602091252.0,-100602091252.0,4800000000000.0
311,311,311,Phải trả người bán ngắn hạn,(10),1.628.746.222.883,(40.711.238.393),1.588.034.984.490,,-10.0,1628746222883.0,-40711238393.0,1588034984490.0
314,314,314,Phải trả người lao động,(10),55.874.576.362,90.197.063.277,146.071.639.639,,-10.0,55874576362.0,90197063277.0,146071639639.0
315,315,315,Chỉ phí phải trả ngắn hạn,(10),3.645.659.661.277,(149.113.331.386),3.496.546.329.891,,-10.0,3645659661277.0,-149113331386.0,3496546329891.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,(11),(*),502.313.840.716,502.313.840.716,,-11.0,,502313840716.0,502313840716.0
319,319,319,Phải trả ngắn hạn khác,(11),10.333.943.140.608,(502.313.840.716),9.831.629.299.892,,-11.0,10333943140608.0,-502313840716.0,9831629299892.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,(9),1.321.194.605.718,(22.126.482.187),1.299.068.123.531,,-9.0,1321194605718.0,-22126482187.0,1299068123531.0
321,321,321,Dự phòng phải trả ngắn hạn,(10),-,99.627.506.502,99.627.506.502,,-10.0,,99627506502.0,99627506502.0
336,336,336,Doanh thu chưa thực hiện dài hạn,(12),(*),1.471.496.586.240,1.471.496.586.240,,-12.0,,1471496586240.0,1471496586240.0
337,337,337,Phải trả dài hạn khác,(12),6.413.683.795.381,(1.471.496.586.240),4.942.187.209.141,,-12.0,6413683795381.0,-1471496586240.0,4942187209141.0
338,338,338,Vay và nợ thuê tài chính dài hạn,"(5),(9),(13)",32.014.819.167.101,(3.913.753.719.859),28.101.065.447.242,,,32014819167101.0,-3913753719859.0,28101065447242.0
339,339,339,Trái phiếu chuyển đối,(13),(*),3.342.284.090.914,3.342.284.090.914,,-13.0,,3342284090914.0,3342284090914.0
340,340,340,Lợi ích cổ đông không kiểm soát,(4),6.888.591.962.940,178.055.416.737,7.066.647.379.677,,-4.0,6888591962940.0,178055416737.0,7066647379677.0
