row_label_raw,row_label_full,"Mã số 02. Khấu hao/khấu trừ tài sản cố định (bao gồm phân bổ lợi thế thương mại)Khấu hao và hao mòn(Thuyết minh số 14,15 và 16)Phần bổ lợi thế thương mại (Thuyết minh số 20)Lãi từ giao dịch mua rè",Năm nay > 1.522.991.052.048816.364.175.395(123.824.134.645),Đơn vị tính: VND > Năm trước > 933.914.785.399649.042.000.805-,numeric__Năm nay > 1.522.991.052.048816.364.175.395(123.824.134.645),numeric__Đơn vị tính: VND > Năm trước > 933.914.785.399649.042.000.805-
Tổng cộng,Tổng cộng,Tổng cộng,2.215.531.092.798,1.582.956.786.204,2215531092798.0,1582956786204.0
Mã số 05. Lãi từ hoạt động đầu tưLỗ/(lãi) từ thanh lý tài sản cố định(Thuyết minh số 34)Lãi từ thanh lý bắt động sản đầu tư(Lãi)/lỗ từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khácPhần (lãi)/lỗ từ công ty liên kết(Thuyết minh số 19.1)Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),Mã số 05. Lãi từ hoạt động đầu tưLỗ/(lãi) từ thanh lý tài sản cố định(Thuyết minh số 34)Lãi từ thanh lý bắt động sản đầu tư(Lãi)/lỗ từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khácPhần (lãi)/lỗ từ công ty liên kết(Thuyết minh số 19.1)Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),Mã số 05. Lãi từ hoạt động đầu tưLỗ/(lãi) từ thanh lý tài sản cố định(Thuyết minh số 34)Lãi từ thanh lý bắt động sản đầu tư(Lãi)/lỗ từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khácPhần (lãi)/lỗ từ công ty liên kết(Thuyết minh số 19.1)Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3),36.847.457.860- (246.175.742.586)(39.227.754.200)(1.645.899.541.473),(3.104.218.385)(274.729.598.999)77.979.864.8498.770.659.254(1.142.105.330.177),,
Tổng cộng,Mã số 05. Lãi từ hoạt động đầu tưLỗ/(lãi) từ thanh lý tài sản cố định(Thuyết minh số 34)Lãi từ thanh lý bắt động sản đầu tư(Lãi)/lỗ từ thanh lý các khoản đầu tư vào cổ phiếu của các đơn vị khácPhần (lãi)/lỗ từ công ty liên kết(Thuyết minh số 19.1)Thu nhập lãi vay và cổ tức (Thuyết minh số 30.3) > Tổng cộng,Tổng cộng,(1.894.455.580.399),(1.333.188.623.458),-1894455580399.0,-1333188623458.0
