row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > Cùng chủ sở hữu,Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > Phải thu từ chuyển nhượng tài sản > Phí dịch vụ phải thu,Số cuối năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > - > 3.438.885.092,Số đầu năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > 163.028.002.628 > -,numeric__Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > Cùng chủ sở hữu,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > Phải thu từ chuyển nhượng tài sản > Phí dịch vụ phải thu,numeric__Số cuối năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > - > 3.438.885.092,numeric__Số đầu năm VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 7.1) > 163.028.002.628 > -
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải thu chỉ phí xây dựng,68.893.191.610,27.409.932.592,,,68893191610.0,27409932592.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Chi phí khám chữa bệnh,,,,,,
Quỹ Thiện Tâm,Quỹ Thiện Tâm > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,phải thu,1.056.070.017,2.181.926.786,,,1056070017.0,2181926786.0
Các bên liên quan khác,Quỹ Thiện Tâm > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phí dịch vụ phải thu,3.329.029.126,102.075.132,,,3329029126.0,102075132.0
Các bên liên quan khác,Quỹ Thiện Tâm > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,76.717.175.845,192.721.937.138,,,76717175845.0,192721937138.0
Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Quỹ Thiện Tâm > Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Công ty liên kết,Cho vay ngắn hạn,55.204.181.818,16.204.181.818,,,55204181818.0,16204181818.0
Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Quỹ Thiện Tâm > Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Phải thu về cho vay (Thuyết minh số 8)Công ty Cổ phần Đầu tư Kinh doanh BDS Thăng Long,Công ty liên kết,,55.204.181.818,16.204.181.818,,,55204181818.0,16204181818.0
Phải thu khác (Thuyết minh số 9)Các bên liên quan khác,Quỹ Thiện Tâm > Phải thu khác (Thuyết minh số 9)Các bên liên quan khác,Phải thu khác (Thuyết minh số 9)Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,5.432.460.002,725.964.500,,,5432460002.0,725964500.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,Phải thu chỉ phí từ thiện,5.526.579.317,109.756.106.884,,,5526579317.0,109756106884.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Tổ chức cùng chủ sở hữu,,10.959.039.319,110.482.071.384,,,10959039319.0,110482071384.0
Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Quỹ Thiện Tâm > Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Công ty liên kết,Chi phí vật liệu xây dựng phải trả,14.494.336.920,-,,,14494336920.0,
Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Quỹ Thiện Tâm > Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Phải trả ngắn hạn cho người bánCông ty Cổ phần Bề tông Ngoại thương,Công ty liên kết,,14.494.336.920,-,,,14494336920.0,
Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Quỹ Thiện Tâm > Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Các bên liên quan khác,Thanh toán theo tiến độ để mua các căn hộ dự án Times City và Royal City,-,5.305.702.116,,,,5305702116.0
Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Quỹ Thiện Tâm > Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Người mua trả tiền trước (Thuyết minh số 21)Các bên liên quan khác,Các bên liên quan khác,,-,5.305.702.116,,,,5305702116.0
