row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Thanh toán theo các hợp đồng chuyển nhượng bất động sản để bán,Thanh toán theo các hợp đồng chuyển nhượng bất động sản để bán,Thanh toán theo các hợp đồng chuyển nhượng bất động sản để bán,19.365.321.728.392,3.299.807.295.075,19365321728392.0,3299807295075.0
Thanh toán theo các hợp đồng khác,Thanh toán theo các hợp đồng khác,Thanh toán theo các hợp đồng khác,855.774.737.625,3.281.471.567.064,855774737625.0,3281471567064.0
Tạm ứng từ khách mua căn hộ tái định cư,Tạm ứng từ khách mua căn hộ tái định cư,Tạm ứng từ khách mua căn hộ tái định cư,-,7.908.840.016,,7908840016.0
Tạm ứng từ hợp đồng cho thuê căn hộ dài hạn (i),Tạm ứng từ hợp đồng cho thuê căn hộ dài hạn (i),Tạm ứng từ hợp đồng cho thuê căn hộ dài hạn (i),191.433.541.758,3.110.184.032.352,191433541758.0,3110184032352.0
"Tạm ứng từ hoạt động cung cấp dịch vụ nhà hàng, khách sạn","Tạm ứng từ hoạt động cung cấp dịch vụ nhà hàng, khách sạn","Tạm ứng từ hoạt động cung cấp dịch vụ nhà hàng, khách sạn",168.147.343.315,113.443.693.274,168147343315.0,113443693274.0
Tạm ứng từ hoạt động cung cấp dịch vụ bệnh viện,Tạm ứng từ hoạt động cung cấp dịch vụ bệnh viện,Tạm ứng từ hoạt động cung cấp dịch vụ bệnh viện,32.924.875.970,17.150.880.830,32924875970.0,17150880830.0
Tạm ứng từ hoạt động tổng thầu xây dựng,Tạm ứng từ hoạt động tổng thầu xây dựng,Tạm ứng từ hoạt động tổng thầu xây dựng,417.955.827.622,12.000.000.000,417955827622.0,12000000000.0
Tạm ứng từ hoạt động cung cấp dịch vụ giáo dục và hoạt động khác,Tạm ứng từ hoạt động cung cấp dịch vụ giáo dục và hoạt động khác,Tạm ứng từ hoạt động cung cấp dịch vụ giáo dục và hoạt động khác,45.313.148.960,20.784.120.592,45313148960.0,20784120592.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.221.096.466.017,6.581.278.862.139,20221096466017.0,6581278862139.0
Trong đó:Người mua trả tiền trước,Trong đó:Người mua trả tiền trước,Trong đó:Người mua trả tiền trước,20.221.096.466.017,6.575.973.160.023,20221096466017.0,6575973160023.0
Các bên liên quan trả tiền trước(Thuyết minh số 37),Các bên liên quan trả tiền trước(Thuyết minh số 37),Các bên liên quan trả tiền trước(Thuyết minh số 37),-,5.305.702.116,,5305702116.0
