row_label_raw,row_label_full,col_0,Đơn vị tính: VNDGiá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Đơn vị tính: VNDGiá trị hợp lý được xác địnhtạm thời tại ngày mua
Tải sản,Tải sản,Tải sản,,
Tiền và tương đương tiền,Tải sản > Tiền và tương đương tiền,Tiền và tương đương tiền,1.620.080.973.532,1620080973532.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,64.084.010.499,64084010499.0
Tải sản khác,Tải sản > Tải sản khác,Tải sản khác,14.564.143.536,14564143536.0
,,,1.698.729.127.567,1698729127567.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,6.350.768.122,6350768122.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,21.609.425.915,21609425915.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,1.670.768.933.530,1670768933530.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(176.337.057.143),-176337057143.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),3.020.090.863,3020090863.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,1.497.451.967.250,1497451967250.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,1.620.080.973.532,1620080973532.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(1.497.451.967.250),-1497451967250.0
Lưu chuyển tiền thuần từ nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua,Lưu chuyển tiền thuần từ nghiệp vụ mua,122.629.006.282,122629006282.0
