row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị(trình bày lại),Số đầu năm > Số có khả năngtrả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giả trị,Số cuối năm > Số có khả năngtrả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị(trình bày lại),numeric__Số đầu năm > Số có khả năngtrả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giả trị,numeric__Số cuối năm > Số có khả năngtrả nợ
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,26.2.1,8.068.650.703.392,8.068.650.703.392,6.417.772.995.895,4.090.186.743.855,10.396.236.955.432,10.396.236.955.432,2621.0,8068650703392.0,8068650703392.0,6417772995895.0,4090186743855.0,10396236955432.0,10396236955432.0
Khoản vay chuyển đổi,Khoản vay chuyển đổi,Khoản vay chuyển đổi,26.2.1,413.789.273.050,413.789.273.050,25.489.669.349,-,439.278.942.399,439.278.942.399,2621.0,413789273050.0,413789273050.0,25489669349.0,,439278942399.0,439278942399.0
Khoản vay hợp vốn quốc tế,Khoản vay hợp vốn quốc tế,Khoản vay hợp vốn quốc tế,26.2.1,2.408.630.311.357,2.408.630.311.357,141.197.472.852,2.549.827.784.209,-,-,2621.0,2408630311357.0,2408630311357.0,141197472852.0,2549827784209.0,,
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,26.2.2,17.209.995.159.443,17.209.995.159.443,9.778.699.214.831,4.701.525.747.118,22.287.168.627.156,22.287.168.627.156,2622.0,17209995159443.0,17209995159443.0,9778699214831.0,4701525747118.0,22287168627156.0,22287168627156.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,28.101.065.447.242,28.101.065.447.242,16.363.159.352.927,11.341.540.275.182,33.122.684.524.987,33.122.684.524.987,,28101065447242.0,28101065447242.0,16363159352927.0,11341540275182.0,33122684524987.0,33122684524987.0
