row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,5.609.442.957,5609442957.0
Phải thu khách hàng và các khoản phải thu khác,Tài sản > Phải thu khách hàng và các khoản phải thu khác,Phải thu khách hàng và các khoản phải thu khác,45.045.182.377,45045182377.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,24.571.725.620,24571725620.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,43.556.750.874,43556750874.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,18.386.404.339,18386404339.0
,,,137.169.506.167,137169506167.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,29.422.930.049,29422930049.0
Phải trả dài hạn khác,Nợ phải trả > Phải trả dài hạn khác,Phải trả dài hạn khác,44.462.097.434,44462097434.0
Vay và nợ dài hạn,Nợ phải trả > Vay và nợ dài hạn,Vay và nợ dài hạn,35.401.556.609,35401556609.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,27.882.922.075,27882922075.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(5.595.845.341),-5595845341.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),224.637.199.866,224637199866.0
Trong đó phân bổ cho:,Trong đó phân bổ cho:,Trong đó phân bổ cho:,Trong đó phân bổ cho:,
- Công ty Vinlinks,Trong đó phân bổ cho: > - Công ty Vinlinks,- Công ty Vinlinks,212.916.929.493,212916929493.0
- Công ty Chuyển phát nhanh Hợp Nhất,Trong đó phân bổ cho: > - Công ty Chuyển phát nhanh Hợp Nhất,- Công ty Chuyển phát nhanh Hợp Nhất,9.198.103.041,9198103041.0
- Công ty Hợp nhất Thương mại,Trong đó phân bổ cho: > - Công ty Hợp nhất Thương mại,- Công ty Hợp nhất Thương mại,2.522.167.332,2522167332.0
Tổng giá phí hợp nhất kinh doanh,Trong đó phân bổ cho: > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,246.924.276.600,246924276600.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,5.609.442.957,5609442957.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(246.924.276.600),-246924276600.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(241.314.833.643),-241314833643.0
