row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",41,7.544.319.623.168,4.359.528.098.609,,41.0,7544319623168.0,4359528098609.0
33,33,33,Tiền thu từ đi vay,,20.664.801.635.454,17.264.986.730.202,,,20664801635454.0,17264986730202.0
34,34,34,Tiền chi trả nợ gốc vay,,(16.711.194.036.085),(8.682.400.989.542),,,-16711194036085.0,-8682400989542.0
36,36,36,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",41,(974.185.674.300),(2.366.476.025.105),,41.0,-974185674300.0,-2366476025105.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,10.523.741.548.237,10.575.637.814.164,,,10523741548237.0,10575637814164.0
50,50,50,Luân chuyển tiền thuần trong năm,,(671.798.735.204),73.081.395.674,,,-671798735204.0,73081395674.0
60,60,60,Tiền và tương đương tiền đầu năm,,7.607.513.719.673,7.534.048.703.295,,,7607513719673.0,7534048703295.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoai quy đổi ngoại tệ,,2.750.120.021,383.620.704,,,2750120021.0,383620704.0
70,70,70,Tiền và tương đương tiền cuối năm,5,6.938.465.104.490,7.607.513.719.673,,5.0,6938465104490.0,7607513719673.0
