row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Thu nhập khác,Thu nhập khác,Thu nhập khác,283.039.374.788,241.964.963.890,283039374788.0,241964963890.0
Lãi từ thanh lý tài sản cố định,Lãi từ thanh lý tài sản cố định,Lãi từ thanh lý tài sản cố định,35.700.385.497,24.328.372.540,35700385497.0,24328372540.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,70.708.814.696,171.712.796.402,70708814696.0,171712796402.0
Lãi từ giao dịch mua rè trong hợp nhất kinh doanh (Thuyết minh số 4),Lãi từ giao dịch mua rè trong hợp nhất kinh doanh (Thuyết minh số 4),Lãi từ giao dịch mua rè trong hợp nhất kinh doanh (Thuyết minh số 4),123.824.134.645,-,123824134645.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,52.806.039.950,45.923.794.948,52806039950.0,45923794948.0
Chi phí khác,Chi phí khác,Chi phí khác,948.045.248.993,207.155.661.595,948045248993.0,207155661595.0
Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,72.547.843.357,21.224.154.155,72547843357.0,21224154155.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,838.917.328.631,151.817.772.986,838917328631.0,151817772986.0
Chi phí khác,Chi phí khác,Chi phí khác,36.580.077.005,34.113.734.454,36580077005.0,34113734454.0
(Lỗ)/LỘI NHUẬN KHÁC THUÀN,(Lỗ)/LỘI NHUẬN KHÁC THUÀN,(Lỗ)/LỘI NHUẬN KHÁC THUÀN,(665.005.874.205),34.809.302.295,-665005874205.0,34809302295.0
