row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,Chi phí bán hàng liên quan đến các căn hộchưa bàn giao,1.141.536.744.894,125.717.369.317,1141536744894.0,125717369317.0
"Chi phí đồ dùng, dụng cụ","Ngắn hạn: > Chi phí đồ dùng, dụng cụ","Chi phí đồ dùng, dụng cụ",102.913.017.914,92.926.354.559,102913017914.0,92926354559.0
Chi phí lãi vay trả trước,Ngắn hạn: > Chi phí lãi vay trả trước,Chi phí lãi vay trả trước,23.446.929.828,20.667.325.201,23446929828.0,20667325201.0
Chi phí thuế thu nhập doanh nghiệp trả trước,Ngắn hạn: > Chi phí thuế thu nhập doanh nghiệp trả trước,Chi phí thuế thu nhập doanh nghiệp trả trước,207.807.092.577,42.770.778.456,207807092577.0,42770778456.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,72.325.615.988,51.225.322.493,72325615988.0,51225322493.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.548.029.401.201,333.307.150.026,1548029401201.0,333307150026.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê đất trả trước,Dài hạn: > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,163.520.735.608,193.397.545.649,163520735608.0,193397545649.0
Chi phí sửa chữa lớn,Dài hạn: > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,37.798.336.027,22.715.049.107,37798336027.0,22715049107.0
"Chi phí công cụ, dụng cụ","Dài hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.018.070.710.745,558.191.520.089,1018070710745.0,558191520089.0
Chi phí trước hoạt động,Dài hạn: > Chi phí trước hoạt động,Chi phí trước hoạt động,106.227.531.032,136.731.575.820,106227531032.0,136731575820.0
Chi phí thuê mặt bằng siêu thị trả trước,Dài hạn: > Chi phí thuê mặt bằng siêu thị trả trước,Chi phí thuê mặt bằng siêu thị trả trước,36.999.995.943,34.668.669.724,36999995943.0,34668669724.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,75.278.841.194,73.233.187.079,75278841194.0,73233187079.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,1.437.896.150.549,1.018.937.547.468,1437896150549.0,1018937547468.0
