row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,128.832.773.540,128832773540.0
Phải thu khác,Tài sản > Phải thu khác,Phải thu khác,108.614.869.455,108614869455.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,41.500.980.400,41500980400.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,454.592.793.500,454592793500.0
Đầu tư vào công ty liên kết,Tài sản > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,4.798.892.080.000,4798892080000.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,8.245.657.556,8245657556.0
,,,5.540.679.154.451,5540679154451.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,37.875.261.788,37875261788.0
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,69.333.777.190,69333777190.0
Vay và nợ thuê tài chính ngắn hạn,Nợ phải trả > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,4.975.000.000.000,4975000000000.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,44.169.830.564,44169830564.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,414.300.284.909,414300284909.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,7.251.105.975,7251105975.0
Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),452.448.609.116,452448609116.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,874.000.000.000,874000000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,128.832.773.540,128832773540.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(874.000.000.000),-874000000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(745.167.226.460),-745167226460.0
