row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quang TrungTrong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Khánh HòaTrong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Công thương Việt Nam > Trong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm > USD > 298.931(200.400),Số cuối năm > VNDtương đương > 86.822.061.438(64.196.199.349) > 4.825.888.573.496(319.234.594.615) > 4.158.076.407.775(73.675.321.108),Ngày dãohan > Từ ngày 18tháng 1năm 2019đến ngày31 tháng 12năm 2024 > Ngày 12tháng 3năm 2017 > Từ ngày 6tháng 1năm 2016đến 29tháng 7năm 2024 > Từ ngày 7tháng 5năm 2020đến ngày30 tháng 5năm 2029,"Lãi suất > Lãi suất huy độngtiết kiệm bằngVND kỳ hạn 12tháng + biển độ từ1% đến 4,5%/năm > Lãi suất 6,5% vàLãi suất huy độngtiết kiệm bằngVND 12 tháng +biến độ 4%/năm > Lãi suất huy độngtiết kiệm bằngVND kỳ hạn tương đương + biển độ từ 3,5% đến6%/năm > Bao gồm Lãi suất7% và Lãi suất huyđộng tiết kiệmbằng VND kỳ hạntương đương +biến độ từ 3% đến3,6%/năm > Lãi suất có định11,5%/năm trong12 tháng đầu tiên.Từ tháng 13: Lãi suất huy động tiết kiệm bằng VND kỳ hạn tương đương+ biển độ 4%/năm",Tài sảnđảmbảo > (i) > (ii) > (iii) > (iv) > (v),numeric__Số cuối năm > USD > 298.931(200.400),numeric__Số cuối năm > VNDtương đương > 86.822.061.438(64.196.199.349) > 4.825.888.573.496(319.234.594.615) > 4.158.076.407.775(73.675.321.108),numeric__Ngày dãohan > Từ ngày 18tháng 1năm 2019đến ngày31 tháng 12năm 2024 > Ngày 12tháng 3năm 2017 > Từ ngày 6tháng 1năm 2016đến 29tháng 7năm 2024 > Từ ngày 7tháng 5năm 2020đến ngày30 tháng 5năm 2029,"numeric__Lãi suất > Lãi suất huy độngtiết kiệm bằngVND kỳ hạn 12tháng + biển độ từ1% đến 4,5%/năm > Lãi suất 6,5% vàLãi suất huy độngtiết kiệm bằngVND 12 tháng +biến độ 4%/năm > Lãi suất huy độngtiết kiệm bằngVND kỳ hạn tương đương + biển độ từ 3,5% đến6%/năm > Bao gồm Lãi suất7% và Lãi suất huyđộng tiết kiệmbằng VND kỳ hạntương đương +biến độ từ 3% đến3,6%/năm > Lãi suất có định11,5%/năm trong12 tháng đầu tiên.Từ tháng 13: Lãi suất huy động tiết kiệm bằng VND kỳ hạn tương đương+ biển độ 4%/năm",numeric__Tài sảnđảmbảo > (i) > (ii) > (iii) > (iv) > (v)
Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,,,,,,,,,,
Ngân hàng TMCP Sài Gòn Thương Tín,Trong đó: vay dài hạn đến hạn trả > Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,,1.394.471.330.500,Ngày 23tháng 5năm 2019,"Lãi suất có định8,75%/năm",(vi),,1394471330500.0,,,
Khoản vay chuyển đổi nước ngoài,Trong đó: vay dài hạn đến hạn trả > Khoản vay chuyển đổi nước ngoài,Khoản vay chuyển đổi nước ngoài,20.000.000,439.278.942.465,Ngày 24tháng 10năm 2019,,,20000000.0,439278942465.0,,,
TỔNG CỘNG,Trong đó: vay dài hạn đến hạn trả > TỔNG CỘNG,TỔNG CỘNG,20.098.531,10.835.515.897.831,,,,20098531.0,10835515897831.0,,,
