row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
Dự án Vinhomes Star (*),Dự án Vinhomes Star (*),Dự án Vinhomes Star (*),3.010.584.175.105,-,3010584175105.0,
Dự án Vinhomes Paradise (*),Dự án Vinhomes Paradise (*),Dự án Vinhomes Paradise (*),1.987.225.173.391,-,1987225173391.0,
Dự án Vinhomes Central Park (*),Dự án Vinhomes Central Park (*),Dự án Vinhomes Central Park (*),1.818.156.762.596,2.663.931.085.123,1818156762596.0,2663931085123.0
Dự án Vinhomes Riverside 2,Dự án Vinhomes Riverside 2,Dự án Vinhomes Riverside 2,1.135.894.144.276,40.801.352.790,1135894144276.0,40801352790.0
Dự án Thảo Điền (*),Dự án Thảo Điền (*),Dự án Thảo Điền (*),844.666.731.848,1.623.262.808.291,844666731848.0,1623262808291.0
Dự án Vinhomes Springlake (*),Dự án Vinhomes Springlake (*),Dự án Vinhomes Springlake (*),817.972.759.456,-,817972759456.0,
Dự án Vinpearl Premium Golf Land,Dự án Vinpearl Premium Golf Land,Dự án Vinpearl Premium Golf Land,668.363.446.429,62.659.288.859,668363446429.0,62659288859.0
Dự án Vincom Xuân Khánh Cần Thơ,Dự án Vincom Xuân Khánh Cần Thơ,Dự án Vincom Xuân Khánh Cần Thơ,622.457.582.346,501.086.251.562,622457582346.0,501086251562.0
Dự án Vincom Trung Tự (*),Dự án Vincom Trung Tự (*),Dự án Vincom Trung Tự (*),586.183.027.208,-,586183027208.0,
Dự án Vinhomes Smart City (*),Dự án Vinhomes Smart City (*),Dự án Vinhomes Smart City (*),561.485.481.324,442.467.019.372,561485481324.0,442467019372.0
Dự án Bệnh viện Vinmec,Dự án Bệnh viện Vinmec,Dự án Bệnh viện Vinmec,509.750.176.708,65.900.291.896,509750176708.0,65900291896.0
Dự án Vincom Plaza Gò Vấp,Dự án Vincom Plaza Gò Vấp,Dự án Vincom Plaza Gò Vấp,490.336.000.000,-,490336000000.0,
Dự án Khu đô thị sinh thái đảo Vũ Yên,Dự án Khu đô thị sinh thái đảo Vũ Yên,Dự án Khu đô thị sinh thái đảo Vũ Yên,410.632.423.817,-,410632423817.0,
Dự án Vinpearl Quy Nhợn (*),Dự án Vinpearl Quy Nhợn (*),Dự án Vinpearl Quy Nhợn (*),400.452.118.618,377.985.958.115,400452118618.0,377985958115.0
Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,Dự án Vinpearl Phú Quốc,395.053.725.772,222.041.798.848,395053725772.0,222041798848.0
Dự án Vinhomes Riverside Hải Phòng,Dự án Vinhomes Riverside Hải Phòng,Dự án Vinhomes Riverside Hải Phòng,309.249.657.518,-,309249657518.0,
"Dự án Sản golf Cồn Áu, Cần Thơ","Dự án Sản golf Cồn Áu, Cần Thơ","Dự án Sản golf Cồn Áu, Cần Thơ",264.421.179.531,-,264421179531.0,
Dự án Vincom Bắc Ninh (*),Dự án Vincom Bắc Ninh (*),Dự án Vincom Bắc Ninh (*),261.266.168.755,-,261266168755.0,
Dự án Làng Văn,Dự án Làng Văn,Dự án Làng Văn,255.707.579.088,232.705.632.840,255707579088.0,232705632840.0
Dự án Times City,Dự án Times City,Dự án Times City,244.612.364.031,784.581.629.027,244612364031.0,784581629027.0
Dự án Hòn Một (*),Dự án Hòn Một (*),Dự án Hòn Một (*),222.061.969.695,193.759.570.979,222061969695.0,193759570979.0
Dự án Vinpearl Condotel Nha Trang,Dự án Vinpearl Condotel Nha Trang,Dự án Vinpearl Condotel Nha Trang,215.967.772.182,-,215967772182.0,
Các dự án về nông nghiệp,Các dự án về nông nghiệp,Các dự án về nông nghiệp,197.525.140.937,-,197525140937.0,
Dự án khách sạn Vinhomes Riverside,Dự án khách sạn Vinhomes Riverside,Dự án khách sạn Vinhomes Riverside,174.164.560.811,169.299.017.912,174164560811.0,169299017912.0
Dự án các khu vui chơi giải trí Vinpearland,Dự án các khu vui chơi giải trí Vinpearland,Dự án các khu vui chơi giải trí Vinpearland,152.192.079.793,-,152192079793.0,
Dự án Tây Hồ View,Dự án Tây Hồ View,Dự án Tây Hồ View,152.852.323.368,136.450.339.308,152852323368.0,136450339308.0
Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,Các dự án khu sân Golf và khu Spa Vinpearl Nha Trang,137.233.168.277,-,137233168277.0,
Các hạng mục nâng cấp hệ thống siêu thị Vinmart,Các hạng mục nâng cấp hệ thống siêu thị Vinmart,Các hạng mục nâng cấp hệ thống siêu thị Vinmart,122.032.432.940,12.721.694.241,122032432940.0,12721694241.0
Dự án Vincom Buôn Mé Thuột,Dự án Vincom Buôn Mé Thuột,Dự án Vincom Buôn Mé Thuột,101.113.430.230,-,101113430230.0,
Dự án Vincom Plaza Biên Hòa,Dự án Vincom Plaza Biên Hòa,Dự án Vincom Plaza Biên Hòa,100.694.000.000,-,100694000000.0,
Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,Dự án Vinpearl Hội An,82.574.687.134,77.195.990.564,82574687134.0,77195990564.0
Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,Dự án Vincom Hà Tĩnh,79.461.006.322,-,79461006322.0,
"Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế","Dự án Vincom Hùng Vương, Huế",71.638.460.640,-,71638460640.0,
Dự án Vincom Lý Bôn Thái Bình,Dự án Vincom Lý Bôn Thái Bình,Dự án Vincom Lý Bôn Thái Bình,60.826.885.884,-,60826885884.0,
Dự án Thương mại điện tử,Dự án Thương mại điện tử,Dự án Thương mại điện tử,25.899.738.346,96.888.466.776,25899738346.0,96888466776.0
Dự án Vinhomes Gardenia (*),Dự án Vinhomes Gardenia (*),Dự án Vinhomes Gardenia (*),-,943.994.136.107,,943994136107.0
Dự án Future Property Invest,Dự án Future Property Invest,Dự án Future Property Invest,-,85.922.322.766,,85922322766.0
Dự án Vinpearl Hạ Long,Dự án Vinpearl Hạ Long,Dự án Vinpearl Hạ Long,-,67.929.253.870,,67929253870.0
Dự án Vinhomes Nguyễn Chí Thanh (*),Dự án Vinhomes Nguyễn Chí Thanh (*),Dự án Vinhomes Nguyễn Chí Thanh (*),-,1.315.763.194.052,,1315763194052.0
Dự án Vincom Plaza Long Xuyên An Giang,Dự án Vincom Plaza Long Xuyên An Giang,Dự án Vincom Plaza Long Xuyên An Giang,-,101.750.000.000,,101750000000.0
Dự án Vincom Thủ Đức,Dự án Vincom Thủ Đức,Dự án Vincom Thủ Đức,-,602.433.027.000,,602433027000.0
Dự án Vinpearl Premium Nha Trang Bay,Dự án Vinpearl Premium Nha Trang Bay,Dự án Vinpearl Premium Nha Trang Bay,-,168.844.771.919,,168844771919.0
Các dự án khác,Các dự án khác,Các dự án khác,624.585.030.478,419.113.367.514,624585030478.0,419113367514.0
TỔNG CÔNG,TỔNG CÔNG,TỔNG CÔNG,18.115.293.364.854,11.409.488.269.731,18115293364854.0,11409488269731.0
