row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinhtrong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinhtrong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,128.974.462.211,2.425.085.574.674,(1.910.883.738.142),643.176.298.743,128974462211.0,2425085574674.0,-1910883738142.0,643176298743.0
Thuế thu nhập doanhnghiệp(Thuyết minh số 36),Phải nộp > Thuế thu nhập doanhnghiệp(Thuyết minh số 36),Thuế thu nhập doanhnghiệp(Thuyết minh số 36),503.959.105.076,1.578.521.354.312,(1.421.314.104.431),661.166.354.957,503959105076.0,1578521354312.0,-1421314104431.0,661166354957.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,25.209.166.721,305.891.355.779,(278.024.237.438),53.076.285.062,25209166721.0,305891355779.0,-278024237438.0,53076285062.0
Tiền sử dụng đất và tiệnthuê đất phải nộp,Phải nộp > Tiền sử dụng đất và tiệnthuê đất phải nộp,Tiền sử dụng đất và tiệnthuê đất phải nộp,371.099.590.034,1.899.169.627.264,(2.099.659.452.048),170.609.765.250,371099590034.0,1899169627264.0,-2099659452048.0,170609765250.0
Thuế nhà thầu phải nộptừ giao dịch nhậncchuyển nhượng cổphản,Phải nộp > Thuế nhà thầu phải nộptừ giao dịch nhậncchuyển nhượng cổphản,Thuế nhà thầu phải nộptừ giao dịch nhậncchuyển nhượng cổphản,-,112.752.577.813,-,112.752.577.813,,112752577813.0,,112752577813.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,7.862.005.712,212.089.133.933,(182.331.193.101),37.619.946.544,7862005712.0,212089133933.0,-182331193101.0,37619946544.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,1.037.104.329.754,6.533.509.623.775,(5.892.212.725.160),1.678.401.228.369,1037104329754.0,6533509623775.0,-5892212725160.0,1678401228369.0
,,,Số đầu năm,Số phát sinhtrong năm,Số đã thutrong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,549.937.309.384,193.717.192.768,(83.626.959.038),660.027.543.114,549937309384.0,193717192768.0,-83626959038.0,660027543114.0
Thuế thu nhập doanhnghiệp nộp thừa,Phải thu > Thuế thu nhập doanhnghiệp nộp thừa,Thuế thu nhập doanhnghiệp nộp thừa,23.626.601.879,(5.196.237.134),-,18.430.364.745,23626601879.0,-5196237134.0,,18430364745.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,19.522.343.674,(14.901.823.340),-,4.620.520.334,19522343674.0,-14901823340.0,,4620520334.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,593.086.254.937,173.619.132.294,(83.626.959.038),683.078.428.193,593086254937.0,173619132294.0,-83626959038.0,683078428193.0
