row_label_raw,row_label_full,col_0,Số cuối năm > Số cổ phiếu phổ thông,Số cuối năm > Giá trị (VND),Số đầu năm > Số cổ phiếu phổ thông,Số đầu năm > Giá trị (VND),numeric__Số cuối năm > Số cổ phiếu phổ thông,numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > Số cổ phiếu phổ thông,numeric__Số đầu năm > Giá trị (VND)
Công ty Bê tông Ngoại thương,Công ty Bê tông Ngoại thương,Công ty Bê tông Ngoại thương,1.800.000,24.410.420.502,900.000,13.352.690.188,1800000.0,24410420502.0,900000.0,13352690188.0
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,73.650.000,979.672.327.325,73.650.000,943.022.019.919,73650000.0,979672327325.0,73650000.0,943022019919.0
Công ty BDS Thắng Long,Công ty BDS Thắng Long,Công ty BDS Thắng Long,1.750.000,171.306.421.130,1.750.000,20.659.825.905,1750000.0,171306421130.0,1750000.0,20659825905.0
Công ty Cảng Nha Trang,Công ty Cảng Nha Trang,Công ty Cảng Nha Trang,8.500.000,89.924.078.544,-,-,8500000.0,89924078544.0,,
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,676.800,47.404.859.687,676.800,47.351.350.371,676800.0,47404859687.0,676800.0,47351350371.0
Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,Công ty Ngọc Viễn Đông,(*),522.327.960.907,(*),6.108.844.987,,522327960907.0,,6108844987.0
Công ty Thời trang M.Y.M,Công ty Thời trang M.Y.M,Công ty Thời trang M.Y.M,11.700.000,81.600.013.951,(**),(**),11700000.0,81600013951.0,,
Công ty Du lịch Cần Giờ,Công ty Du lịch Cần Giờ,Công ty Du lịch Cần Giờ,69.798.651,4.798.892.080.000,-,-,69798651.0,4798892080000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.715.538.162.046,,1.030.494.731.370,,6715538162046.0,,1030494731370.0
