row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ",194.671.051.737,36.276.517.999,194671051737.0,36276517999.0
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,365.247.876.157,303.886.910.031,365247876157.0,303886910031.0
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,148.083.223.337,-,148083223337.0,
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,97.876.548.628,115.135.246.409,97876548628.0,115135246409.0
Doanh thu chưa thực hiện từ dịch vụ khác,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,250.859.319.417,47.015.166.277,250859319417.0,47015166277.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.056.738.019.276,502.313.840.716,1056738019276.0,502313840716.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,1.198.094.154.929,1.074.639.325.548,1198094154929.0,1074639325548.0
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,90.716.093.933,296.574.236.223,90716093933.0,296574236223.0
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biết thụ,1.319.975.110.242,-,1319975110242.0,
Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,Doanh thu chưa thực hiện từ dịch vụ cho thuê văn phòng,7.668.595.322,58.815.202.020,7668595322.0,58815202020.0
Doanh thu chưa thực hiện từ dịch vụ khác,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,66.957.578.042,41.467.822.449,66957578042.0,41467822449.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,2.683.411.532.468,1.471.496.586.240,2683411532468.0,1471496586240.0
