row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,Tiền chi cho hoạt động cho vay,(6.777.600.000.000),(885.106.000.000),-6777600000000.0,-885106000000.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,(12.103.288.911.471),(3.509.011.030.716),-12103288911471.0,-3509011030716.0
Tổng cộng,Tổng cộng,Tổng cộng,(18.880.888.911.471),(4.394.117.030.716),-18880888911471.0,-4394117030716.0
"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,
Tiền thu từ hoạt động cho vay,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tiền thu từ hoạt động cho vay",Tiền thu từ hoạt động cho vay,2.669.609.550.761,1.711.688.675.151,2669609550761.0,1711688675151.0
Rút tiền gửi có kỳ hạn,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Rút tiền gửi có kỳ hạn",Rút tiền gửi có kỳ hạn,6.171.224.825.237,2.232.617.805.005,6171224825237.0,2232617805005.0
Tổng cộng,"Mã số 24. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác > Tổng cộng",Tổng cộng,8.840.834.375.998,3.944.306.480.156,8840834375998.0,3944306480156.0
Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,,
Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),Tiền chi mua công ty con mới (trừ đi số dư tiền của công ty con tại ngày mua),(12.939.136.407.998),(2.359.415.821.372),-12939136407998.0,-2359415821372.0
Tiền chi mua thêm cổ phần của công ty con hiện hữu,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua thêm cổ phần của công ty con hiện hữu,Tiền chi mua thêm cổ phần của công ty con hiện hữu,(523.718.706.200),(3.025.235.910.444),-523718706200.0,-3025235910444.0
Tiền tạm ứng/đặt cọc mua công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng/đặt cọc mua công ty con,Tiền tạm ứng/đặt cọc mua công ty con,(3.621.128.422.500),-,-3621128422500.0,
Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,(3.077.484.315.345),(1.529.685.000.000),-3077484315345.0,-1529685000000.0
Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,(23.954.604.785),(5.800.000.000.000),-23954604785.0,-5800000000000.0
Tổng cộng,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(20.185.422.456.828),(12.714.336.731.816),-20185422456828.0,-12714336731816.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Thu hồi tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Thu hồi tiền tạm ứng theo hợp đồng hợp tác kinh doanh,-,266.500.000.000,,266500000000.0
"Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con","Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con","Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dư tiền tại công ty con",1.960.679.834.204,354.099.660.000,1960679834204.0,354099660000.0
Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,1.186.277.993.558,465.000.000.000,1186277993558.0,465000000000.0
