row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,500.041.229,500041229.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,9.595.498.578,9595498578.0
Các khoản phải thu khác,Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,3.929.918.043,3929918043.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,15.124.287.228,15124287228.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,9.028.609.602,9028609602.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.164.848.285,1164848285.0
,,,39.343.202.965,39343202965.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,8.344.551.179,8344551179.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,486.186.940,486186940.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,30.512.464.846,30512464846.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(30.512.464.846),-30512464846.0
Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,-,
Tổng giá phí hợp nhất kinh doanh (*),Tổng giá phí hợp nhất kinh doanh (*),Tổng giá phí hợp nhất kinh doanh (*),-,
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,500.041.229,500041229.0
Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,-,
Lưu chuyển tiền thuần từ nghiệp vụ mua,Tiền chỉ để mua công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua,Lưu chuyển tiền thuần từ nghiệp vụ mua,500.041.229,500041229.0
