row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,18.616.703.249,18616703249.0
Phải thu khách hàng và các khoản phải thu khác,Tài sản > Phải thu khách hàng và các khoản phải thu khác,Phải thu khách hàng và các khoản phải thu khác,43.845.206.277,43845206277.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,192.492.807.035,192492807035.0
Chi phí trả trước,Tài sản > Chi phí trả trước,Chi phí trả trước,86.891.655.435,86891655435.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,204.060.520.400,204060520400.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,52.690.541.541,52690541541.0
,,,598.597.433.937,598597433937.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán và phải trả khác,Nợ phải trả > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,288.796.207.424,288796207424.0
Phải trả dài hạn khác,Nợ phải trả > Phải trả dài hạn khác,Phải trả dài hạn khác,11.764.122.382,11764122382.0
Vay và nợ ngắn hạn,Nợ phải trả > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,198.087.133.452,198087133452.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,99.949.970.679,99949970679.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,38.865.008.796,38865008796.0
Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),Lợi thế thương mại từ hợp nhất kinh doanh(Thuyết minh số 20),90.685.020.525,90685020525.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,229.500.000.000,229500000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,18.616.703.249,18616703249.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(229.500.000.000),-229500000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(210.883.296.751),-210883296751.0
