row_label_raw,row_label_full,Đối tượng nợ > Tổng giá trị các khoản phải thu quá hạn thanh toán > Tổng giá trị các khoản cho vay quá hạn thanh toán,Số cuối năm > Giá gốc > 676.500.521.674 > 82.578.564.023,Số cuối năm > Giá trị có thể thu hồi > 526.657.154.382 > 17.844.590.574,Số đầu năm > Giá gốc > 103.462.990.153 > 82.578.564.023,Số đầu năm > Giá trị có thể thu hồi > 35.567.855.897 > 49.749.544.577,numeric__Số cuối năm > Giá gốc > 676.500.521.674 > 82.578.564.023,numeric__Số cuối năm > Giá trị có thể thu hồi > 526.657.154.382 > 17.844.590.574,numeric__Số đầu năm > Giá gốc > 103.462.990.153 > 82.578.564.023,numeric__Số đầu năm > Giá trị có thể thu hồi > 35.567.855.897 > 49.749.544.577
Lãi vay chưa ghi nhận,Lãi vay chưa ghi nhận,Lãi vay chưa ghi nhận,19.169.910.308,-,-,-,19169910308.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,778.248.996.005,544.501.744.956,186.041.554.176,85.317.400.474,778248996005.0,544501744956.0,186041554176.0,85317400474.0
