row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Đơn vị tính: VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,7.806.549.253.427,3.445.191.671.253,374.143.917.903,295.322.685.148,204.718.916.058,12.125.926.443.789,7806549253427.0,3445191671253.0,374143917903.0,295322685148.0,204718916058.0,12125926443789.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,7.202.558.715.241,2.529.020.605.821,371.036.139.163,326.019.292.247,234.157.949.540,10.662.792.702.012,7202558715241.0,2529020605821.0,371036139163.0,326019292247.0,234157949540.0,10662792702012.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Mua mới,Trong đó: > Mua mới,Mua mới,76.914.043.132,619.400.835.581,286.012.511.642,250.880.025.806,228.420.853.437,1.461.628.269.598,76914043132.0,619400835581.0,286012511642.0,250880025806.0,228420853437.0,1461628269598.0
Xây dựng mới,Trong đó: > Xây dựng mới,Xây dựng mới,4.329.578.327.508,1.139.964.536.458,-,-,-,5.469.542.863.966,4329578327508.0,1139964536458.0,,,,5469542863966.0
Tăng do mua công ty con,Trong đó: > Tăng do mua công ty con,Tăng do mua công ty con,398.273.676.070,187.932.819.737,85.023.627.521,75.139.266.441,2.592.267.400,748.961.657.169,398273676070.0,187932819737.0,85023627521.0,75139266441.0,2592267400.0,748961657169.0
Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Trong đó: > Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),2.276.750.334.874,507.573.629.692,-,-,-,2.784.323.964.566,2276750334874.0,507573629692.0,,,,2784323964566.0
Tăng khác,Trong đó: > Tăng khác,Tăng khác,121.042.333.657,74.148.784.353,-,-,3.144.828.703,198.335.946.713,121042333657.0,74148784353.0,,,3144828703.0,198335946713.0
Giảm trong năm,Trong đó: > Giảm trong năm,Giảm trong năm,(462.508.074.364),(160.764.605.894),(29.177.990.572),(78.133.353.460),(20.439.796.677),(751.023.820.967),-462508074364.0,-160764605894.0,-29177990572.0,-78133353460.0,-20439796677.0,-751023820967.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
"Thanh lý, nhượng bán","Trong đó: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.673.728.458),(45.135.084.127),(16.656.185.449),(23.913.701.354),(1.700.449.836),(95.079.149.224),-7673728458.0,-45135084127.0,-16656185449.0,-23913701354.0,-1700449836.0,-95079149224.0
Phân loại sang bất động sản đầu tư(Thuyết minh số 16),Trong đó: > Phân loại sang bất động sản đầu tư(Thuyết minh số 16),Phân loại sang bất động sản đầu tư(Thuyết minh số 16),(175.014.638.913),(68.240.168.645),-,-,-,(243.254.807.558),-175014638913.0,-68240168645.0,,,,-243254807558.0
Giảm khác,Trong đó: > Giảm khác,Giảm khác,(279.819.706.993),(47.389.353.122),(12.521.805.123),(54.219.652.106),(18.739.346.841),(412.689.864.185),-279819706993.0,-47389353122.0,-12521805123.0,-54219652106.0,-18739346841.0,-412689864185.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,14.546.599.894.304,5.813.447.671.180,716.002.066.494,543.208.623.935,418.437.068.921,22.037.695.324.834,14546599894304.0,5813447671180.0,716002066494.0,543208623935.0,418437068921.0,22037695324834.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,4.470.134.982,75.815.842.272,3.422.680.248,18.029.313.880,15.080.906.177,116.818.877.559,4470134982.0,75815842272.0,3422680248.0,18029313880.0,15080906177.0,116818877559.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,529.681.981.112,810.925.875.132,119.027.352.551,67.612.705.058,72.337.788.287,1.599.585.702.140,529681981112.0,810925875132.0,119027352551.0,67612705058.0,72337788287.0,1599585702140.0
Tăng trong năm,Giá trị hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,662.178.035.906,529.209.016.598,84.041.288.124,100.114.306.356,49.066.587.838,1.424.609.234.822,662178035906.0,529209016598.0,84041288124.0,100114306356.0,49066587838.0,1424609234822.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Khẩu hao trong năm,Trong đó: > Khẩu hao trong năm,Khẩu hao trong năm,397.405.057.909,363.193.085.221,54.363.382.832,32.484.118.306,47.726.234.178,895.171.878.446,397405057909.0,363193085221.0,54363382832.0,32484118306.0,47726234178.0,895171878446.0
Tăng do mua công ty con,Trong đó: > Tăng do mua công ty con,Tăng do mua công ty con,217.929.931.558,95.725.252.815,29.677.905.292,67.630.188.050,108.011.140,411.071.288.855,217929931558.0,95725252815.0,29677905292.0,67630188050.0,108011140.0,411071288855.0
Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Trong đó: > Phân loại từ bất động sản đầu tư (Thuyết minh số 16),Phân loại từ bất động sản đầu tư (Thuyết minh số 16),46.810.903.271,68.825.891.971,-,-,-,115.636.795.242,46810903271.0,68825891971.0,,,,115636795242.0
Tăng khác,Trong đó: > Tăng khác,Tăng khác,32.143.168,1.464.786.591,-,-,1.232.342.520,2.729.272.279,32143168.0,1464786591.0,,,1232342520.0,2729272279.0
Giảm trong năm,Trong đó: > Giảm trong năm,Giảm trong năm,(41.218.069.460),(39.833.838.443),(4.056.384.465),(13.540.789.689),(2.196.615.822),(100.845.697.879),-41218069460.0,-39833838443.0,-4056384465.0,-13540789689.0,-2196615822.0,-100845697879.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
"Thanh lý, nhượng bán","Trong đó: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.925.679.821),(9.036.726.983),(2.544.697.166),(3.357.798.987),(543.402.907),(19.408.305.864),-3925679821.0,-9036726983.0,-2544697166.0,-3357798987.0,-543402907.0,-19408305864.0
Phân loại sang bất động sản đầu tư(Thuyết minh số 16),Trong đó: > Phân loại sang bất động sản đầu tư(Thuyết minh số 16),Phân loại sang bất động sản đầu tư(Thuyết minh số 16),(8.902.821.258),(13.197.155.544),-,-,-,(20.099.976.802),-8902821258.0,-13197155544.0,,,,-20099976802.0
Giảm khác,Trong đó: > Giảm khác,Giảm khác,(30.389.568.381),(17.599.955.916),(1.511.687.299),(10.182.990.702),(1.653.212.915),(61.337.415.213),-30389568381.0,-17599955916.0,-1511687299.0,-10182990702.0,-1653212915.0,-61337415213.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,1.150.641.947.558,1.300.301.053.287,199.012.256.210,154.186.221.725,119.207.760.303,2.923.349.239.083,1150641947558.0,1300301053287.0,199012256210.0,154186221725.0,119207760303.0,2923349239083.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,7.276.867.272.315,2.634.265.796.121,255.116.565.352,227.709.980.090,132.381.127.771,10.526.340.741.649,7276867272315.0,2634265796121.0,255116565352.0,227709980090.0,132381127771.0,10526340741649.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,13.395.957.946.746,4.513.146.617.893,516.989.810.284,389.022.402.210,299.229.308.618,19.114.346.085.751,13395957946746.0,4513146617893.0,516989810284.0,389022402210.0,299229308618.0,19114346085751.0
