row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYẾN TIẾN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế Điều chỉnh cho các khoản:,,2.852.100.965.401,5.409.680.638.498,,,2852100965401.0,5409680638498.0
02,02,02,Khấu hao và hao mòn,41,2.215.531.092.798,1.582.956.786.204,,41.0,2215531092798.0,1582956786204.0
03,03,03,Thay đổi các khoản dự phòng,,180.300.335.624,95.586.098.902,,,180300335624.0,95586098902.0
04,04,04,Lỗ chênh lệch tỷ giá chưa thực hiện,32,392.125.548.103,153.521.258.290,,32.0,392125548103.0,153521258290.0
05,05,05,Lãi từ hoạt động đầu tư,41,(1.894.455.580.399),(1.333.188.623.458),,41.0,-1894455580399.0,-1333188623458.0
06,06,06,Chi phí lãi vay,32,2.721.940.288.870,2.916.411.635.062,,32.0,2721940288870.0,2916411635062.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,6.467.542.650.397,8.824.967.793.498,,,6467542650397.0,8824967793498.0
09,09,09,Tăng các khoản phải thu,,(4.510.794.740.749),(236.771.046.585),,,-4510794740749.0,-236771046585.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(7.424.030.776.827),7.828.554.877.896,,,-7424030776827.0,7828554877896.0
11,11,11,"Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,40.818.058.572.231,(435.168.123.808),,,40818058572231.0,-435168123808.0
12,12,12,Tăng chi phí trả trước,,(1.756.985.859.776),(979.838.213.859),,,-1756985859776.0,-979838213859.0
13,13,13,Giảm chứng khoán kinh doanh,,112.322.695.000,-,,,112322695000.0,
14,14,14,Tiền lãi vay đã trả,,(4.381.857.928.346),(3.191.276.794.957),,,-4381857928346.0,-3191276794957.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,,(1.421.314.104.431),(1.910.568.513.664),,,-1421314104431.0,-1910568513664.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,-,(3.085.600.466),,,,-3085600466.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,27.902.940.507.499,9.896.814.378.055,,,27902940507499.0,9896814378055.0
,,,II. LƯU CHUYẾN TIẾN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(14.514.819.118.699),(12.078.574.548.052),,,-14514819118699.0,-12078574548052.0
22,22,22,Tiền thu được từ thanh lý tài sản cố định và các tài sản dài hạn khác,,38.823.385.497,1.233.509.487.141,,,38823385497.0,1233509487141.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",41,(18.880.888.911.471),(4.394.117.030.716),,41.0,-18880888911471.0,-4394117030716.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",41,8.840.834.375.998,3.944.306.480.156,,41.0,8840834375998.0,3944306480156.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,41,(20.185.422.456.828),(12.714.336.731.816),,41.0,-20185422456828.0,-12714336731816.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,41,4.450.260.724.277,2.592.111.751.675,,41.0,4450260724277.0,2592111751675.0
27,27,27,Lãi vay và cổ tức nhận được,,1.152.731.210.286,1.017.729.795.067,,,1152731210286.0,1017729795067.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(39.098.480.790.940),(20.399.370.796.545),,,-39098480790940.0,-20399370796545.0
