row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)
"Ngắn hạn:Lãi phải thu từ các khoản cho vay, đặt cọc và tiền gửi ngân hàng","Ngắn hạn:Lãi phải thu từ các khoản cho vay, đặt cọc và tiền gửi ngân hàng","Ngắn hạn:Lãi phải thu từ các khoản cho vay, đặt cọc và tiền gửi ngân hàng",890.625.661.389,428.978.175.621,890625661389.0,428978175621.0
Ký quỹ mở thu tín dụng,Ký quỹ mở thu tín dụng,Ký quỹ mở thu tín dụng,66.841.542.654,38.078.268.211,66841542654.0,38078268211.0
"Ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ","Ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ","Ký quỹ cho mục đích đảm bảo phát triển dự án, mở bán căn hộ",532.479.238.433,26.180.124.801,532479238433.0,26180124801.0
Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,Phải thu từ thu nhập cổ tức,36.115.522.222,36.115.522.222,36115522222.0,36115522222.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,59.515.702.495,13.722.309.095,59515702495.0,13722309095.0
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,93.448.998.244,-,93448998244.0,
Phải thu từ chủ sở hữu cũ của các công ty con,Phải thu từ chủ sở hữu cũ của các công ty con,Phải thu từ chủ sở hữu cũ của các công ty con,220.279.946.923,-,220279946923.0,
Phải thu lại khoản đặt cọc từ hợp đồng đầu tư (i),Phải thu lại khoản đặt cọc từ hợp đồng đầu tư (i),Phải thu lại khoản đặt cọc từ hợp đồng đầu tư (i),1.050.000.000.000,-,1050000000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,216.447.918.587,169.075.624.801,216447918587.0,169075624801.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.165.754.530.947,712.150.024.751,3165754530947.0,712150024751.0
Trong đó:Phải thu ngắn hạn khác,Trong đó:Phải thu ngắn hạn khác,Trong đó:Phải thu ngắn hạn khác,3.154.795.491.628,601.667.953.367,3154795491628.0,601667953367.0
Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37),10.959.039.319,110.482.071.384,10959039319.0,110482071384.0
Dài hạn:Đặt cọc thuê gian hàng dài hạn,Dài hạn:Đặt cọc thuê gian hàng dài hạn,Dài hạn:Đặt cọc thuê gian hàng dài hạn,179.574.004.529,99.679.218.417,179574004529.0,99679218417.0
Phải thu khác,Phải thu khác,Phải thu khác,12.190.234.785,922.872.835,12190234785.0,922872835.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,191.764.239.314,100.602.091.252,191764239314.0,100602091252.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(35.860.903.851),(18.765.801.355),-35860903851.0,-18765801355.0
