row_label_raw,row_label_full,TT,Tên công ty liên kết,Trụ sở chính,31/12/2016,31/12/2016_1,01/01/2016,01/01/2016_1,numeric__Tên công ty liên kết,numeric__Trụ sở chính,numeric__31/12/2016,numeric__31/12/2016_1,numeric__01/01/2016,numeric__01/01/2016_1
TT,TT,TT,Tên công ty liên kết,Trụ sở chính,Tỷ lệ sở hữu %,Tỷ lệ biểu quyết %,Tỷ lệ sở hữu %,Tỷ lệ biểu quyết %,,,,,,
1,TT > 1,1,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang (i),"số 14, lô B1, KĐTM Nam Từ Sơn, thị xã Từ Sơn, tỉnh Bắc Ninh","33,00%","33,00%","30,69%","30,69%",,,0.33,0.33,0.3069,0.3069
2,TT > 2,2,Công ty CP In và Văn hóa phẩm,"Số 83 Hào Nam, phường Ô Chợ Dừa, quận Đống Đa, Tp. Hà Nội","46,89%","46,89%",,,,,0.4689,0.4689,,
3,TT > 3,3,Công ty CP Tài nguyên và Môi trường Trường Minh (ii),"lô 52, BT7-KĐT Văn Quán, quận Hà Đông, Tp. Hà Nội","64,54%","35,00%",,,,,0.6454000000000001,0.35,,
4,TT > 4,4,Công ty CP Đầu tư Văn Phú IPS (iii),"số 177 phố Trung Kính, phường Yên Hoà, quận Cầu Giấy, Tp. Hà Nội","44,44%","40,00%",,,,,0.44439999999999996,0.4,,
