row_label_raw,row_label_full,Chỉ tiêu,Mã số,TM,Năm 2016,Đơn vị tính: VNDNăm 2015,numeric__Mã số,numeric__TM,numeric__Năm 2016,numeric__Đơn vị tính: VNDNăm 2015
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.01,773.730.795.380,246.969.287.231,1.0,,773730795380.0,246969287231.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,VI.02,1.626.530.304,23.636.412.003,2.0,,1626530304.0,23636412003.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,772.104.265.076,223.332.875.228,10.0,,772104265076.0,223332875228.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.03,672.176.422.868,202.852.147.118,11.0,,672176422868.0,202852147118.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,99.927.842.208,20.480.728.110,20.0,,99927842208.0,20480728110.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.04,2.058.095.413,2.519.412.878,21.0,,2058095413.0,2519412878.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.05,19.261.213.689,9.200.997.086,22.0,,19261213689.0,9200997086.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,19.261.213.689,9.200.997.086,23.0,,19261213689.0,9200997086.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(15.658.725.401),-,24.0,,-15658725401.0,
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,V.06,2.281.949.493,2.991.684.863,25.0,,2281949493.0,2991684863.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,V.06,31.897.683.635,10.688.948.091,26.0,,31897683635.0,10688948091.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,32.886.365.403,118.510.948,30.0,,32886365403.0,118510948.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,VI.07,1.657.427.730,63.666.877,31.0,,1657427730.0,63666877.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,VI.08,5.369.547.026,3.200.110.695,32.0,,5369547026.0,3200110695.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,(3.712.119.296),(3.136.443.818),40.0,,-3712119296.0,-3136443818.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,29.174.246.107,(3.017.932.870),50.0,,29174246107.0,-3017932870.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,VI.09,7.222.700.653,842.593.250,51.0,,7222700653.0,842593250.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,-,(1.282.104),52.0,,,-1282104.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,21.951.545.454,(3.859.244.016),60.0,,21951545454.0,-3859244016.0
- LNST của cổ đông của công ty mẹ,- LNST của cổ đông của công ty mẹ,- LNST của cổ đông của công ty mẹ,61,,17.895.888.044,(3.504.633.926),61.0,,17895888044.0,-3504633926.0
- LNST của cổ đông không kiểm soát,- LNST của cổ đông không kiểm soát,- LNST của cổ đông không kiểm soát,62,,4.055.657.410,(354.610.090),62.0,,4055657410.0,-354610090.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,VI.10,6.825,(749),70.0,,6825.0,-749.0
20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,71,VI.10,6.825,(749),71.0,,6825.0,-749.0
