row_label_raw,row_label_full,col_0,"Phương tiện vântài, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Phương tiện vântài, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư tại 01/01/2016,NGUYÊN GIÁ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,12.670.529.596,1.957.300.288,53.971.000,14.720.800.884,12670529596.0,1957300288.0,53971000.0,14720800884.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,7.083.781.818,48.288.975,-,7.132.070.793,7083781818.0,48288975.0,,7132070793.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,2.778.293.148,-,-,2.778.293.148,2778293148.0,,,2778293148.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.614.871.444),-,-,(3.614.871.444),-3614871444.0,,,-3614871444.0
Số dư tại 31/12/2016,NGUYÊN GIÁ > Số dư tại 31/12/2016,Số dư tại 31/12/2016,18.917.733.118,1.498.778.301,-,20.455.511.419,18917733118.0,1498778301.0,,20455511419.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN > Số dư tại 01/01/2016,Số dư tại 01/01/2016,6.967.439.856,1.957.300.288,53.971.000,9.017.711.144,6967439856.0,1957300288.0,53971000.0,9017711144.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,2.321.147.097,-,-,2.321.147.097,2321147097.0,,,2321147097.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.397.036.191),-,-,(3.397.036.191),-3397036191.0,,,-3397036191.0
Số dư tại 31/12/2016,GIÁ TRỊ HAO MÒN > Số dư tại 31/12/2016,Số dư tại 31/12/2016,5.891.550.762,1.450.489.326,-,7.381.040.088,5891550762.0,1450489326.0,,7381040088.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Số dư tại 01/01/2016,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2016,Số dư tại 01/01/2016,5.703.089.740,-,-,5.703.089.740,5703089740.0,,,5703089740.0
Số dư tại 31/12/2016,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2016,Số dư tại 31/12/2016,13.026.182.356,48.288.975,-,13.074.471.331,13026182356.0,48288975.0,,13074471331.0
