row_label_raw,row_label_full,Công ty CP KD dịch vụ cao cấp dầu khí Việt Nam (PVR),31/12/2016 > Giá trị VND > 10.000.000.000,31/12/2016 > Dự phòng VND > -,01/01/2016 > Giá trị VND > 10.000.000.000,01/01/2016 > Dự phòng VND > -,numeric__31/12/2016 > Giá trị VND > 10.000.000.000,numeric__31/12/2016 > Dự phòng VND > -,numeric__01/01/2016 > Giá trị VND > 10.000.000.000,numeric__01/01/2016 > Dự phòng VND > -
Ban Quản lý giao thông 1,Ban Quản lý giao thông 1,Ban Quản lý giao thông 1,12.577.195.000,-,12.577.195.000,-,12577195000.0,,12577195000.0,
Bộ Y tế (i),Bộ Y tế (i),Bộ Y tế (i),548.983.537.821,-,-,-,548983537821.0,,,
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,321.747.240.076,(252.468.507),55.367.455.439,(252.468.507),321747240076.0,-252468507.0,55367455439.0,-252468507.0
Cộng,Cộng,Cộng,893.307.972.897,(252.468.507),77.944.650.439,(252.468.507),893307972897.0,-252468507.0,77944650439.0,-252468507.0
