row_label_raw,row_label_full,TT,Tên công ty con,Trụ sở chính,31/12/2016,31/12/2016_1,01/01/2016,01/01/2016_1,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__31/12/2016,numeric__31/12/2016_1,numeric__01/01/2016,numeric__01/01/2016_1
TT,TT,TT,Tên công ty con,Trụ sở chính,Tỷ lệ lợi ích %,Tỷ lệ biểu quyết %,Tỷ lệ lợi ích %,Tỷ lệ biểu quyết %,,,,,,
1,TT > 1,1,Công ty TNHH MTV Đầu tư Văn Phú Giăng Võ,"số 177 phố Trung Kính, phường Yên Hoà, quận Cầu Giấy, Tp. Hà Nội",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
2,TT > 2,2,Công ty CP Đầu tư Văn Phú Land,"số 24-N7B, Khu đô thị Trung Hòa - Nhân Chính, quận Thanh Xuân, Tp. Hà Nội","80,04%","80,04%","80,04%","80,04%",,,0.8004000000000001,0.8004000000000001,0.8004000000000001,0.8004000000000001
3,TT > 3,3,Công ty CP Đầu tư Văn Phú IBS,"số 177 phố Trung Kính, phường Yên Hoà, quận Cầu Giấy, Tp. Hà Nội","76,00%","76,00%","52,00%","52,00%",,,0.76,0.76,0.52,0.52
4,TT > 4,4,Công ty CP Văn Phú Bắc Ái (i),"số 129 Đình Tiên Hoàng, phường 3, quận Bình Thạnh, Tp. Hồ Chí Minh","33,33%","33,33%",,,,,0.3333,0.3333,,
