row_label_raw,row_label_full,col_0,Chỉ tiêu,MS,Năm 2016,Năm 2015,numeric__Chỉ tiêu,numeric__MS,numeric__Năm 2016,numeric__Năm 2015
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,29.174.246.107,(3.017.932.870),,1.0,29174246107.0,-3017932870.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSĐT,02,2.321.147.097,1.266.429.581,,2.0,2321147097.0,1266429581.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,(2.412.987.432),(2.519.412.878),,5.0,-2412987432.0,-2519412878.0
-,2. > -,-,Chi phí lãi vay,06,19.261.213.689,9.200.997.086,,6.0,19261213689.0,9200997086.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,48.343.619.461,4.930.080.919,,8.0,48343619461.0,4930080919.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,(566.523.887.033),(143.007.610.924),,9.0,-566523887033.0,-143007610924.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,(10.224.542.956),(581.231.178.100),,10.0,-10224542956.0,-581231178100.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",11,329.574.553.874,181.566.676.824,,11.0,329574553874.0,181566676824.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,2.036.577.876,1.717.710.179,,12.0,2036577876.0,1717710179.0
-,2. > -,-,Tiền lãi vay đã trả,14,(31.251.385.785),(12.665.533.322),,14.0,-31251385785.0,-12665533322.0
-,2. > -,-,Thuế TNDN đã nộp,15,(2.337.000.000),(6.157.789.552),,15.0,-2337000000.0,-6157789552.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(230.382.064.563),(554.847.643.976),,20.0,-230382064563.0,-554847643976.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(8.355.287.284),(4.449.099.091),,21.0,-8355287284.0,-4449099091.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,630.000.000,530.000.000,,22.0,630000000.0,530000000.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(12.751.984.945),-,,23.0,-12751984945.0,
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,2.551.984.945,-,,24.0,2551984945.0,
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(177.050.697.175),(117.694.423.600),,25.0,-177050697175.0,-117694423600.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,309.507.500.000,478.580.000.000,,26.0,309507500000.0,478580000000.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,2.058.621.426,2.519.412.878,,27.0,2058621426.0,2519412878.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,116.590.136.967,359.485.890.187,,30.0,116590136967.0,359485890187.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,975.642.667.579,682.695.996.493,,33.0,975642667579.0,682695996493.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(774.493.860.868),(508.247.358.050),,34.0,-774493860868.0,-508247358050.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,201.148.806.711,174.448.638.443,,40.0,201148806711.0,174448638443.0
,,,Lưu chuyển tiền thuần trong kỳ,50,87.356.879.115,(20.913.115.346),,50.0,87356879115.0,-20913115346.0
,,,Tiền và tương đương tiền đầu kỳ,60,19.027.821.561,39.940.936.907,,60.0,19027821561.0,39940936907.0
,,,Tiền và tương đương tiền cuối kỳ,70,106.384.700.676,19.027.821.561,,70.0,106384700676.0,19027821561.0
