row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,106.384.700.676,-,-,106.384.700.676,106384700676.0,,,106384700676.0
Phải thu khách hàng và phải thu khác,Tại ngày 31/12/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,953.441.311.049,112.927.022.000,-,1.066.368.333.049,953441311049.0,112927022000.0,,1066368333049.0
Đầu tư tài chính,Tại ngày 31/12/2016 > Đầu tư tài chính,Đầu tư tài chính,-,-,205.612.870.977,205.612.870.977,,,205612870977.0,205612870977.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,1.059.826.011.725,112.927.022.000,205.612.870.977,1.378.365.904.702,1059826011725.0,112927022000.0,205612870977.0,1378365904702.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,19.027.821.561,-,-,19.027.821.561,19027821561.0,,,19027821561.0
Phải thu khách hàng và phải thu khác,Tại ngày 01/01/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,208.145.870.074,82.927.022.000,-,291.072.892.074,208145870074.0,82927022000.0,,291072892074.0
Đầu tư tài chính,Tại ngày 01/01/2016 > Đầu tư tài chính,Đầu tư tài chính,-,-,357.285.706.000,357.285.706.000,,,357285706000.0,357285706000.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,227.173.691.635,82.927.022.000,357.285.706.000,667.386.419.635,227173691635.0,82927022000.0,357285706000.0,667386419635.0
