row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại 01/01/2016,Số dư tại 01/01/2016,Số dư tại 01/01/2016,262.200.000.000,-,15.177.859.740,7.613.245.707,45.168.258.122,13.743.464.230,343.902.827.799,262200000000.0,,15177859740.0,7613245707.0,45168258122.0,13743464230.0,343902827799.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,17.895.888.044,4.055.657.410,21.951.545.454,,,,,17895888044.0,4055657410.0,21951545454.0
Tăng khác,Tăng khác,Tăng khác,-,1.678,-,-,-,10.083.026.660,10.083.028.338,,1678.0,,,,10083026660.0,10083028338.0
Phân phối lợi nhuận (i),Phân phối lợi nhuận (i),Phân phối lợi nhuận (i),-,-,-,-,(5.000.000.000),-,(5.000.000.000),,,,,-5000000000.0,,-5000000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(3.640.335.135),(3.792.000.000),(7.432.335.135),,,,,-3640335135.0,-3792000000.0,-7432335135.0
Số dư tại 31/12/2016,Số dư tại 31/12/2016,Số dư tại 31/12/2016,262.200.000.000,1.678,15.177.859.740,7.613.245.707,54.423.811.031,24.090.148.300,363.505.066.456,262200000000.0,1678.0,15177859740.0,7613245707.0,54423811031.0,24090148300.0,363505066456.0
