row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,numeric__Từ 1 nămtrở xuốngVND,numeric__Trên 1 nămđến 5 nămVND,numeric__Trên 5 nămVND,numeric__CộngVND
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,,,,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,547.520.192.225,59.423.508.000,-,606.943.700.225,547520192225.0,59423508000.0,,606943700225.0
Phải trả người bán vàphải trả khác,Tại ngày 31/12/2016 > Phải trả người bán vàphải trả khác,Phải trả người bán vàphải trả khác,328.971.053.723,387.918.636.432,-,716.889.690.155,328971053723.0,387918636432.0,,716889690155.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,688.072.340.420,-,-,688.072.340.420,688072340420.0,,,688072340420.0
Cộng,Tại ngày 31/12/2016 > Cộng,Cộng,1.564.563.586.368,447.342.144.432,-,2.011.905.730.800,1564563586368.0,447342144432.0,,2011905730800.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,,,,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,234.038.260.514,171.756.633.000,-,405.794.893.514,234038260514.0,171756633000.0,,405794893514.0
Phải trả người bán vàphải trả khác,Tại ngày 01/01/2016 > Phải trả người bán vàphải trả khác,Phải trả người bán vàphải trả khác,161.968.696.271,357.213.649.331,-,519.182.345.602,161968696271.0,357213649331.0,,519182345602.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,763.305.431.712,-,-,763.305.431.712,763305431712.0,,,763305431712.0
Cộng,Tại ngày 01/01/2016 > Cộng,Cộng,1.159.312.388.497,528.970.282.331,-,1.688.282.670.828,1159312388497.0,528970282331.0,,1688282670828.0
