row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty liên kết,
Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,Công ty CP In và Văn hóa phẩm,Công ty liên kết,
Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty CP Tài nguyên và Môi trường Trường Minh,Công ty liên kết,
Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty CP Đầu tư Văn Phú - IPS,Công ty liên kết,
Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,Công ty CP Văn Phú Holdings,"Ông Tô Như Toàn là Chủ tịch HĐQT,Ông Tô Như Thắng là Phó Giám đốc",
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,"Ông Tạ Hữu Long là Chủ tịch HĐQT, Ông Tô Như Toàn là thành viên HĐQT",
Công ty CP Thời trang Gina Le,Công ty CP Thời trang Gina Le,Công ty CP Thời trang Gina Le,Ông Tô Như Toàn là Chủ tịch HĐQT,
Công ty CP Đầu tư Văn Phú - Mineral,Công ty CP Đầu tư Văn Phú - Mineral,Công ty CP Đầu tư Văn Phú - Mineral,Ông Tạ Hữu Long là Chủ tịch HĐQT,
Công ty CP Đầu tư Văn Phú - House,Công ty CP Đầu tư Văn Phú - House,Công ty CP Đầu tư Văn Phú - House,Ông Tô Như Toàn là thành viên HĐQT,
Công ty CP SX và TM Tây Hà(tên cũ Công ty CP Đầu tư Văn Phú - ITC),Công ty CP SX và TM Tây Hà(tên cũ Công ty CP Đầu tư Văn Phú - ITC),Công ty CP SX và TM Tây Hà(tên cũ Công ty CP Đầu tư Văn Phú - ITC),Ông Tô Như Toàn là Chủ tịch HĐQT,
Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Ông Tô Như Thắng là thành viên HĐQT,
Công ty CP Đầu tư Văn Phú số 1,Công ty CP Đầu tư Văn Phú số 1,Công ty CP Đầu tư Văn Phú số 1,Ông Đình Quốc Hà là thành viên HĐQT,
Công ty CP Đầu tư Văn Phú số 2,Công ty CP Đầu tư Văn Phú số 2,Công ty CP Đầu tư Văn Phú số 2,Ông Tô Như Toàn là Chủ tịch HĐQT,
Công ty CP Đầu tư Văn Phú - Bắc ÁiÔng Tô Như ToànÔng Nguyễn Minh Tuấn,Công ty CP Đầu tư Văn Phú - Bắc ÁiÔng Tô Như ToànÔng Nguyễn Minh Tuấn,Công ty CP Đầu tư Văn Phú - Bắc ÁiÔng Tô Như ToànÔng Nguyễn Minh Tuấn,Ông Tô Như Toàn là Chủ tịch HĐQTChủ tịch HĐQT - Tổng Giám đốcThành viên HĐQT - Tổng Giám đốc,
Ông Tô Như ThắngÔng Tạ Hữu LongBà Hoàng Thị LiênÔng Vũ Thanh TuấnÔng Đình Quốc HàBà Đào Thị Hồng Hạnh,Ông Tô Như ThắngÔng Tạ Hữu LongBà Hoàng Thị LiênÔng Vũ Thanh TuấnÔng Đình Quốc HàBà Đào Thị Hồng Hạnh,Ông Tô Như ThắngÔng Tạ Hữu LongBà Hoàng Thị LiênÔng Vũ Thanh TuấnÔng Đình Quốc HàBà Đào Thị Hồng Hạnh,Thành viên HĐQT - Phó Tổng Giám đốcThành viên HĐQT - Phó Tổng Giám đốcThành viên HĐQT - Phó Tổng Giám đốcThành viên HĐQTPhó Tổng Giám đốcvợ Ông Tô Như Toàn,
