row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả kinh doanh riêng,numeric__Báo cáo kết quả kinh doanh riêng_1
,,,Ngày 31 tháng12 năm 2021VND,Ngày 31 tháng12 năm 2020VND,Cho năm tài chính kết thúc ngày 31 tháng12 năm 2021VND,Cho năm tài chính kết thúc ngày 31 tháng12 năm 2020VND,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,-,-,-,(5.682.570.000),,,,-5682570000.0
Chi phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,Chi phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,Chi phí thuế thu nhập hoãn lại tính vào kết quả hoạt động riêng,-,-,-,(5.682.570.000),,,,-5682570000.0
