row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND
Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,1.154.096.473.050,1.065.556.415.529,1154096473050.0,1065556415529.0
- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,150.761.853,373.465.465,150761853.0,373465465.0
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,164.516.561.594,270.622.306.531,164516561594.0,270622306531.0
- Lãi trái phiếu,- Lãi trái phiếu,- Lãi trái phiếu,70.193.905.726,75.785.492.493,70193905726.0,75785492493.0
- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,826.755.373.661,717.777.283.554,826755373661.0,717777283554.0
- (Lỗ) chênh lệch tỷ giá chưa thực hiện,- (Lỗ) chênh lệch tỷ giá chưa thực hiện,- (Lỗ) chênh lệch tỷ giá chưa thực hiện,-,(1.339.514),,-1339514.0
- Lãi đầu tư chứng khoán,- Lãi đầu tư chứng khoán,- Lãi đầu tư chứng khoán,92.479.870.216,999.207.000,92479870216.0,999207000.0
Dịch vụ đào tạo,Dịch vụ đào tạo,Dịch vụ đào tạo,1.891.720.373,2.978.558.500,1891720373.0,2978558500.0
Cho thuê văn phòng,Cho thuê văn phòng,Cho thuê văn phòng,70.728.526.422,70.479.621.537,70728526422.0,70479621537.0
Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,262.795.817.661,269.911.801.016,262795817661.0,269911801016.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.489.512.537.506,1.408.926.396.582,1489512537506.0,1408926396582.0
