row_label_raw,row_label_full,"Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31 tháng 12 năm 2020 > Giá trị số sách > Giá trị thị trường > VaR (95%, 1 ngày)",HOSE > 253.297.281.164 > 252.559.356.800 > (6.557.379.304),HNX > 69.901.560.000 > 240.536.400.000 > (10.429.784.416),Tổng > 323.198.841.164 > 493.095.756.800 > (16.987.163.720),numeric__HOSE > 253.297.281.164 > 252.559.356.800 > (6.557.379.304),numeric__HNX > 69.901.560.000 > 240.536.400.000 > (10.429.784.416),numeric__Tổng > 323.198.841.164 > 493.095.756.800 > (16.987.163.720)
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),1.843.042.796,-,1.843.042.796,1843042796.0,,1843042796.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(14.662.745.878),(23.321.706.944),(37.984.452.822),-14662745878.0,-23321706944.0,-37984452822.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(30.756.835.230),(48.920.025.196),(79.676.860.426),-30756835230.0,-48920025196.0,-79676860426.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(104.095.169.342),(165.567.694.754),(269.662.864.096),-104095169342.0,-165567694754.0,-269662864096.0
