row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2020,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021,numeric__Ngày 31 tháng 12 năm 2020
300,300,300,C. NỘ PHẢI TRẢ,,388.194.559.803,404.803.491.483,,,388194559803.0,404803491483.0
310,310,310,I. Nợ ngắn hạn,,221.481.365.827,189.735.656.269,,,221481365827.0,189735656269.0
311,311,311,1. Phải trả người bán ngắn hạn,13,13.249.934.085,4.922.606.612,,13.0,13249934085.0,4922606612.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,-,158.685.912,,,,158685912.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,14,25.095.889.373,18.423.969.606,,14.0,25095889373.0,18423969606.0
314,314,314,4. Phải trả người lao động,15,66.512.398.550,62.902.494.416,,15.0,66512398550.0,62902494416.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,16,4.596.468.691,6.426.007.236,,16.0,4596468691.0,6426007236.0
319,319,319,6. Phải trả ngắn hạn khác,17,79.073.849.662,79.533.349.539,,17.0,79073849662.0,79533349539.0
322,322,322,"7. Quỹ khen thưởng, phúc lợi",18,32.952.825.466,17.368.542.948,,18.0,32952825466.0,17368542948.0
330,330,330,II. Nợ dài hạn,,166.713.193.976,215.067.835.214,,,166713193976.0,215067835214.0
338,338,338,1. Vay và nợ thuê tài chính dài hạn,19,166.713.193.976,215.067.835.214,,19.0,166713193976.0,215067835214.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,18.519.463.698.420,18.195.313.783.327,,,18519463698420.0,18195313783327.0
410,410,410,I. Vốn chủ sở hữu,20,18.519.463.698.420,18.195.313.783.327,,20.0,18519463698420.0,18195313783327.0
411,411,411,1. Vốn góp của chủ sở hữu,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
412,412,412,2. Thặng dư vốn cổ phần,,7.310.458.742.807,7.310.458.742.807,,,7310458742807.0,7310458742807.0
418,418,418,3. Quỹ đầu tư phát triển,,1.193.628.491.611,890.113.816.478,,,1193628491611.0,890113816478.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,2.592.148.824.002,2.571.513.584.042,,,2592148824002.0,2571513584042.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.561.585.730.246,1.561.552.414.060,,,1561585730246.0,1561552414060.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.030.563.093.756,1.009.961.169.982,,,1030563093756.0,1009961169982.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,18.907.658.258.223,18.600.117.274.810,,,18907658258223.0,18600117274810.0
