row_label_raw,row_label_full,col_0,Quá hạn,Không xác định kỳ hạn,Đến 1 năm,Từ 1 - 3 năm,Từ 3 - 5 năm,Từ 5 - 15 năm,Trên 15 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 1 năm,numeric__Từ 1 - 3 năm,numeric__Từ 3 - 5 năm,numeric__Từ 5 - 15 năm,numeric__Trên 15 năm,numeric__Tổng cộng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,284.720,-,-,-,-,284.720,,,284720.0,,,,,284720.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,55.334,-,-,-,-,-,55.334,,55334.0,,,,,,55334.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,10.334,-,-,-,-,-,10.334,,10334.0,,,,,,10334.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,45.000,-,-,-,-,-,45.000,,45000.0,,,,,,45000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,3.745.108,991.895,-,-,-,4.737.003,,,3745108.0,991895.0,,,,4737003.0
- Hợp đồng tiến gửi,Tài sản tài chính > - Hợp đồng tiến gửi,- Hợp đồng tiến gửi,-,-,3.624.098,116.285,-,-,-,3.740.383,,,3624098.0,116285.0,,,,3740383.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,-,-,121.010,875.610,-,-,-,996.620,,,121010.0,875610.0,,,,996620.0
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,-,526.840,-,-,-,-,-,526.840,,526840.0,,,,,,526840.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,-,-,692.938,-,-,-,-,692.938,,,692938.0,,,,,692938.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,-,-,73.680,-,-,-,-,73.680,,,73680.0,,,,,73680.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,-,-,609.733,-,-,-,-,609.733,,,609733.0,,,,,609733.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,-,-,9.525,-,-,-,-,9.525,,,9525.0,,,,,9525.0
Tổng,Tài sản tài chính > Tổng,Tổng,-,582.174,4.722.766,991.895,-,-,-,6.296.835,,582174.0,4722766.0,991895.0,,,,6296835.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,21.637,-,-,-,-,21.637,,,21637.0,,,,,21637.0
Phải trả đặt cọc cho thuê văn phòng,Nợ phải trả tài chính > Phải trả đặt cọc cho thuê văn phòng,Phải trả đặt cọc cho thuê văn phòng,-,-,1.306,-,-,-,-,1.306,,,1306.0,,,,,1306.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,4.923,-,-,-,-,4.923,,,4923.0,,,,,4923.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,-,-,62.483,-,-,-,-,62.483,,,62483.0,,,,,62483.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,-,-,-,-,215.068,-,-,215.068,,,,,215068.0,,,215068.0
Tổng,Nợ phải trả tài chính > Tổng,Tổng,-,-,90.349,-,215.068,-,-,305.417,,,90349.0,,215068.0,,,305417.0
