row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020
01,01,01,1. Doanh thu hoạt động kinh doanh,21,1.489.512.537.506,1.408.926.396.582,,21.0,1489512537506.0,1408926396582.0
11,11,11,2. Chi phí hoạt động kinh doanh,22,(224.810.366.431),(164.130.649.518),,22.0,-224810366431.0,-164130649518.0
20,20,20,3. Lợi nhuận gộp từ hoạt động kinh doanh,,1.264.702.171.075,1.244.795.747.064,,,1264702171075.0,1244795747064.0
26,26,26,4. Chi phí quản lý doanh nghiệp,23,(181.134.125.603),(178.818.005.528),,23.0,-181134125603.0,-178818005528.0
30,30,30,5. Lợi nhuận thuần từ hoạt động kinh doanh,,1.083.568.045.472,1.065.977.741.536,,,1083568045472.0,1065977741536.0
31,31,31,6. Thu nhập khác,,354.162.876,1.011.348.941,,,354162876.0,1011348941.0
32,32,32,7. Chi phí khác,,(72.208.958),(72.345.516),,,-72208958.0,-72345516.0
40,40,40,8. Lợi nhuận khác,,281.953.918,939.003.425,,,281953918.0,939003425.0
50,50,50,9. Tổng lợi nhuận trước thuế,,1.083.849.999.390,1.066.916.744.961,,,1083849999390.0,1066916744961.0
51,51,51,10. Chi phí thuế TNDN hiện hành,24.1,(53.286.905.634),(49.518.591.186),,241.0,-53286905634.0,-49518591186.0
52,52,52,11. Chi phí thuế TNDN hoãn lại,24.2,-,(5.682.570.000),,242.0,,-5682570000.0
60,60,60,12. Lợi nhuận sau thuế thu nhập doanh nghiệp,,1.030.563.093.756,1.011.715.583.775,,,1030563093756.0,1011715583775.0
