row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.083.849.999.390,1.066.916.744.961,1083849999390.0,1066916744961.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm: > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(826.755.373.661),(717.777.283.554),-826755373661.0,-717777283554.0
- Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,Các khoản điều chỉnh giảm: > - Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,- Hoàn nhập chênh lệch tạm thời chi phí dự phòng tài chính chưa được trừ các năm trước,-,(108.358.601.561),,-108358601561.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,
- Lỗ chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh tăng: > - Lỗ chênh lệch tỷ giá chưa thực hiện,- Lỗ chênh lệch tỷ giá chưa thực hiện,3.709.422,1.339.514,3709422.0,1339514.0
- Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > - Chi phí không được khấu trừ thuế,- Chi phí không được khấu trừ thuế,9.336.193.021,6.802.756.569,9336193021.0,6802756569.0
Thu nhập chịu thuế ước tính trong năm,Các khoản điều chỉnh tăng: > Thu nhập chịu thuế ước tính trong năm,Thu nhập chịu thuế ước tính trong năm,266.434.528.172,247.584.955.929,266434528172.0,247584955929.0
Thuế suất thuế thu nhập doanh nghiệp,Các khoản điều chỉnh tăng: > Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,53.286.905.634,49.516.991.186,53286905634.0,49516991186.0
Điều chỉnh thuế phải trả các năm trước,Các khoản điều chỉnh tăng: > Điều chỉnh thuế phải trả các năm trước,Điều chỉnh thuế phải trả các năm trước,-,1.600.000,,1600000.0
Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,53.286.905.634,49.518.591.186,53286905634.0,49518591186.0
Thuế TNDN phải trả/(có thể thu hồi) đầu năm,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả/(có thể thu hồi) đầu năm,Thuế TNDN phải trả/(có thể thu hồi) đầu năm,12.086.344.108,(5.430.647.078),12086344108.0,-5430647078.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh tăng: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(44.800.000.000),(32.001.600.000),-44800000000.0,-32001600000.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,20.573.249.742,12.086.344.108,20573249742.0,12086344108.0
