row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2021 > Giá gốc VND,Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ VND,Ngày 31 tháng 12 năm 2020 > Giá gốc VND,Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ VND,numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ VND,numeric__Ngày 31 tháng 12 năm 2020 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị ghi sổ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),3.287.000.000.000,3.123.000.000.000,3.548.000.000.000,3.384.000.000.000,3287000000000.0,3123000000000.0,3548000000000.0,3384000000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),964.709.500.000,810.000.000.000,154.709.500.000,-,964709500000.0,810000000000.0,154709500000.0,
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,964.709.500.000,810.000.000.000,154.709.500.000,-,964709500000.0,810000000000.0,154709500000.0,
,,,4.251.709.500.000,3.933.000.000.000,3.702.709.500.000,3.384.000.000.000,4251709500000.0,3933000000000.0,3702709500000.0,3384000000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (***),Dài hạn > Tiền gửi (***),Tiền gửi (***),1.000.000.000,1.000.000.000,110.000.000.000,110.000.000.000,1000000000.0,1000000000.0,110000000000.0,110000000000.0
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),-,-,859.570.878.525,859.570.878.525,,,859570878525.0,859570878525.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,-,-,859.570.878.525,859.570.878.525,,,859570878525.0,859570878525.0
,,,1.000.000.000,1.000.000.000,969.570.878.525,969.570.878.525,1000000000.0,1000000000.0,969570878525.0,969570878525.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.252.709.500.000,3.934.000.000.000,4.672.280.378.525,4.353.570.878.525,4252709500000.0,3934000000000.0,4672280378525.0,4353570878525.0
