row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020 > Phải thu VND,Ngày 31 tháng 12 năm 2020 > Phải nộp VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Ngày 31 tháng 12 năm 2021 > Phải thu VND,Ngày 31 tháng 12 năm 2021 > Phải nộp VND,numeric__Ngày 31 tháng 12 năm 2020 > Phải thu VND,numeric__Ngày 31 tháng 12 năm 2020 > Phải nộp VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Ngày 31 tháng 12 năm 2021 > Phải thu VND,numeric__Ngày 31 tháng 12 năm 2021 > Phải nộp VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,12.086.344.108,53.286.905.634,(44.800.000.000),-,20.573.249.742,,12086344108.0,53286905634.0,-44800000000.0,,20573249742.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,(24.051.688.981),-,5.103.336.293,(5.103.336.293),(24.051.688.981),-,-24051688981.0,,5103336293.0,-5103336293.0,-24051688981.0,
Thuế GTGT của dự án đầu tư,Thuế GTGT của dự án đầu tư,Thuế GTGT của dự án đầu tư,(24.051.688.981),-,-,-,(24.051.688.981),-,-24051688981.0,,,,-24051688981.0,
Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,Thuế GTGT hàng bán nội địa được khấu trừ của dịch vụ CNTT,-,-,5.103.336.293,(5.103.336.293),-,-,,,5103336293.0,-5103336293.0,,
Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,Thuế GTGT hàng bán nội địa của dịch vụ khác,-,4.106.377.352,20.430.140.517,(21.706.100.598),-,2.830.417.271,,4106377352.0,20430140517.0,-21706100598.0,,2830417271.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,2.231.248.146,21.372.200.912,(22.039.560.204),-,1.563.888.854,,2231248146.0,21372200912.0,-22039560204.0,,1563888854.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(1.299.914.027),-,7.517.984.248,(6.089.736.715),-,128.333.506,-1299914027.0,,7517984248.0,-6089736715.0,,128333506.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(25.351.603.008),18.423.969.606,107.710.567.604,(99.738.733.810),(24.051.688.981),25.095.889.373,-25351603008.0,18423969606.0,107710567604.0,-99738733810.0,-24051688981.0,25095889373.0
