row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Ngày 31 tháng 12 năm 2020,Nguyên giá > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,63.135.267.200,372.086.409.301,435.221.676.501,63135267200.0,372086409301.0,435221676501.0
- Tăng trong năm,Nguyên giá > - Tăng trong năm,- Tăng trong năm,-,98.554.647.231,98.554.647.231,,98554647231.0,98554647231.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,63.135.267.200,470.641.056.532,533.776.323.732,63135267200.0,470641056532.0,533776323732.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hết khấu hao,Trong đó: > Đã hết khấu hao,Đã hết khấu hao,-,66.726.167.722,66.726.167.722,,66726167722.0,66726167722.0
Không sử dụng,Trong đó: > Không sử dụng,Không sử dụng,-,190.000.000,190.000.000,,190000000.0,190000000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,29.261.808.888,124.844.064.542,154.105.873.430,29261808888.0,124844064542.0,154105873430.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,1.708.119.868,50.678.433.955,52.386.553.823,1708119868.0,50678433955.0,52386553823.0
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,30.969.928.756,175.522.498.497,206.492.427.253,30969928756.0,175522498497.0,206492427253.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,33.873.458.312,247.242.344.759,281.115.803.071,33873458312.0,247242344759.0,281115803071.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,32.165.338.444,295.118.558.035,327.283.896.479,32165338444.0,295118558035.0,327283896479.0
