row_label_raw,row_label_full,Tài sản tài chính
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh
- Cổ phiếu niêm yết,- Cổ phiếu niêm yết,- Cổ phiếu niêm yết
- Chứng chỉ quỹ,- Chứng chỉ quỹ,- Chứng chỉ quỹ
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn
- Hợp đồng tiền gửi,- Hợp đồng tiền gửi,- Hợp đồng tiền gửi
- Trái phiếu,- Trái phiếu,- Trái phiếu
Đầu tư tài chính khác,Đầu tư tài chính khác,Đầu tư tài chính khác
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu
- Phải thu các bên liên quan,- Phải thu các bên liên quan,- Phải thu các bên liên quan
- Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận
- Phải thu khác,- Phải thu khác,- Phải thu khác
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG
