row_label_raw,row_label_full,1.2 Bố trí cơ cấu nguồn vốn,1.2 Bố trí cơ cấu nguồn vốn_1,1.2 Bố trí cơ cấu nguồn vốn_2,1.2 Bố trí cơ cấu nguồn vốn_3,numeric__1.2 Bố trí cơ cấu nguồn vốn_1,numeric__1.2 Bố trí cơ cấu nguồn vốn_2,numeric__1.2 Bố trí cơ cấu nguồn vốn_3
- Nợ phải trả/Tổng,- Nợ phải trả/Tổng,- Nợ phải trả/Tổng,%,"2,05","2,18",,2.05,2.18
- Nguồn vốn chủ sở hữu/Tổng,- Nguồn vốn chủ sở hữu/Tổng,- Nguồn vốn chủ sở hữu/Tổng,,,,,,
Nguồn vốn,- Nguồn vốn chủ sở hữu/Tổng > Nguồn vốn,Nguồn vốn,%,"97,95","97,82",,97.95,97.82
