row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND
Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,,
Ông Kenji Yoneda,Thù lao của thành viên Hội đồng Quản trị > Ông Kenji Yoneda,Ông Kenji Yoneda,69.333.333,228.000.000,69333333.0,228000000.0
Ông Teruo Shimmen,Thù lao của thành viên Hội đồng Quản trị > Ông Teruo Shimmen,Ông Teruo Shimmen,240.000.000,228.000.000,240000000.0,228000000.0
Ông Arai Kazuhiko,Thù lao của thành viên Hội đồng Quản trị > Ông Arai Kazuhiko,Ông Arai Kazuhiko,170.666.667,-,170666667.0,
Ông Nguyễn Đình An,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Đình An,Ông Nguyễn Đình An,240.000.000,114.000.000,240000000.0,114000000.0
Bà Thân Hiền Anh,Thù lao của thành viên Hội đồng Quản trị > Bà Thân Hiền Anh,Bà Thân Hiền Anh,240.000.000,228.000.000,240000000.0,228000000.0
Ông Đỗ Trường Minh,Thù lao của thành viên Hội đồng Quản trị > Ông Đỗ Trường Minh,Ông Đỗ Trường Minh,240.000.000,228.000.000,240000000.0,228000000.0
Bà Trần Thị Diệu Hằng,Thù lao của thành viên Hội đồng Quản trị > Bà Trần Thị Diệu Hằng,Bà Trần Thị Diệu Hằng,240.000.000,228.000.000,240000000.0,228000000.0
Ông Nguyễn Xuân Việt,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Xuân Việt,Ông Nguyễn Xuân Việt,240.000.000,228.000.000,240000000.0,228000000.0
Ông Nguyễn Minh Hoàng,Thù lao của thành viên Hội đồng Quản trị > Ông Nguyễn Minh Hoàng,Ông Nguyễn Minh Hoàng,-,32.413.793,,32413793.0
Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,Tiền lương của Tổng Giám đốc và Người quản lý khác,,
Ông Đào Đình Thi,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Đào Đình Thi,Ông Đào Đình Thi,1.228.757.948,1.188.203.387,1228757948.0,1188203387.0
Ông Đỗ Trường Minh,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Đỗ Trường Minh,Ông Đỗ Trường Minh,1.102.092.191,1.037.109.208,1102092191.0,1037109208.0
Ông Ông Tiến Hùng,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Ông Tiến Hùng,Ông Ông Tiến Hùng,825.196.450,778.413.905,825196450.0,778413905.0
Ông Nguyễn Xuân Hòa,Tiền lương của Tổng Giám đốc và Người quản lý khác > Ông Nguyễn Xuân Hòa,Ông Nguyễn Xuân Hòa,990.628.204,939.102.524,990628204.0,939102524.0
