row_label_raw,row_label_full,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
55.334.361.164,55.334.361.164,55.334.361.164,-,55.334.361.164,78.398.080.000,,55334361164.0,78398080000.0
10.334.361.164,10.334.361.164,10.334.361.164,-,10.334.361.164,10.733.580.000,,10334361164.0,10733580000.0
45.000.000.000,45.000.000.000,45.000.000.000,-,45.000.000.000,67.664.500.000,,45000000000.0,67664500000.0
4.861.799.299.062,4.861.799.299.062,4.861.799.299.062,(318.709.500.000),4.543.089.799.062,5.387.416.387.642,-318709500000.0,4543089799062.0,5387416387642.0
3.843.759.632.872,3.843.759.632.872,3.843.759.632.872,(164.000.000.000),3.679.759.632.872,3.692.305.126.801,-164000000000.0,3679759632872.0,3692305126801.0
1.018.039.666.190,1.018.039.666.190,1.018.039.666.190,(154.709.500.000),863.330.166.190,1.695.111.260.841,-154709500000.0,863330166190.0,1695111260841.0
616.781.114.000,616.781.114.000,616.781.114.000,(89.940.967.187),526.840.146.813,778.710.575.311,-89940967187.0,526840146813.0,778710575311.0
692.938.897.479,692.938.897.479,692.938.897.479,-,692.938.897.479,692.938.897.479,,692938897479.0,692938897479.0
73.680.366.716,73.680.366.716,73.680.366.716,-,73.680.366.716,73.680.366.716,,73680366716.0,73680366716.0
609.733.491.719,609.733.491.719,609.733.491.719,-,609.733.491.719,609.733.491.719,,609733491719.0,609733491719.0
9.525.039.044,9.525.039.044,9.525.039.044,-,9.525.039.044,9.525.039.044,,9525039044.0,9525039044.0
284.719.971.015,284.719.971.015,284.719.971.015,-,284.719.971.015,284.719.971.015,,284719971015.0,284719971015.0
6.511.573.642.720,6.511.573.642.720,6.511.573.642.720,(408.650.467.187),6.102.923.175.533,7.222.183.911.447,-408650467187.0,6102923175533.0,7222183911447.0
